DATA IN NGS FORMAT FROM DATABASE 19MAY09XE_V002                                                 
   0.00056    .00000    .00000    .00000   4.910544144453126       0.0      2203                
  0.961   2.038 -0.0161 -0.0797 -0.0139  0.0866    -185039.941              2204
   0.00000   0.00000    .00000    .00000    .00000    .00000                2205                
    22.770    15.900   997.780  1013.700    24.913   100.000 0 0            2206                
        0.9228463876   0.01557        0.0574500208   0.02453  0             2208                
KATH12M   YARRA12M  1424-418 2019 05 09 18 30  30.0000000000                2301                
   -5767669.46554152   0.01102  -276876.8617445903   0.02244 0      I       2302                
   0.00087    .00000    .00000    .00000  -0.658770579360524       0.0      2303                
  0.961   0.205 -0.0161  0.0023 -0.0139 -0.0050    -163584.946              2304
   0.00000   0.00000    .00000    .00000    .00000    .00000                2305                
    22.770    13.576   997.780   997.600    24.913    29.824 0 0            2306                
       -0.0012105901   0.00933        0.0058353615   0.01137  0             2308                
WARK12M   YARRA12M  1424-418 2019 05 09 18 30  30.0000000000                2401                
  -11196969.56554642   0.01873  -219410.3232759635   0.04813 0      I       2402                
   0.00058    .00000    .00000    .00000   0.007639698907299       0.0      2403                
  2.038   0.205 -0.0797  0.0023  0.0866 -0.0050      21454.995              2404
   0.00000   0.00000    .00000    .00000    .00000    .00000                2405                
    15.900    13.576  1013.700   997.600   100.000    29.824 0 0            2406                
       -0.9312670857   0.01575        0.0529780050   0.02416  0             2408                
KATH12M   YARRA12M  2255-282 2019 05 09 18 32  24.0000000000                2501                
    3003170.30688172   0.00879    31935.5805433849   0.01792 0      I       2502                
   0.00108    .00000    .00000    .00000   5.643437021695226       0.0      2503                
  1.138   0.526 -0.0148  0.0178  0.0247  0.0587    -163584.274              2504
   0.00000   0.00000    .00000    .00000    .00000    .00000                2505                
    22.759    13.480   997.780   997.620    24.789    29.940 0 0            2506                
        0.0673558906   0.01908        0.0084062271   0.02569  0             2508                
ISHIOKA   NYALES20  0059+581 2019 05 09 18 33  48.0000000000                2601                
   -5589068.86420817   0.01056   751753.7861283595   0.02151 0      I       2602                
   0.00090    .00000    .00000    .00000  -3.114157300672015       0.0      2603                
  0.431   0.118 -0.0061 -0.0018 -0.0048  0.0011    -719864.286              2604
   0.00000  -0.08004    .00000    .00000    .00000    .00000                2605                
    14.348    -2.283   996.500  1013.700    71.591    55.183 0 0            2606                
        0.1898831501   0.00803       -0.0214235872   0.00949  0             2608                
ISHIOKA   URUMQI    0059+581 2019 05 09 18 33  48.0000000000                2701                
    4741950.75288773   0.02370   300655.6524584311   0.01926 0      I       2702                
   0.00137    .00000    .00000    .00000   0.396990100005114       0.0      2703                
  0.431   0.472 -0.0061 -0.0118 -0.0048  0.0155     195135.798              2704
   0.00000   0.00000    .00000    .00000    .00000    .00000                2705                
    14.348     6.023   996.500   794.977    71.591    63.565 0 0            2706                
        0.8578519644   0.01041       -0.0413513374   0.00507  0             2708                
ISHIOKA   WETTZ13N  0059+581 2019 05 09 18 33  48.0000000000                2801                
    2788085.06998884   0.03652   977275.6375913912   0.07440 0      I       2802                
   0.00026    .00000    .00000    .00000   4.988878364756716       0.1      2803                
  0.431   0.840 -0.0061  0.0006 -0.0048  0.0048        500.350              2804
   0.00000   0.00000    .00000    .00000    .00000    .00000                2805                
    14.348     8.100   996.500   933.515    71.591    99.815 0 0            2806                
        0.8883592560   0.01932       -0.0801707759   0.01823  0             2808                
ISHIOKA   YEBES40M  0059+581 2019 05 09 18 33  48.0000000000                2901                
    3973497.02525371   0.08596  1149772.7260641770   0.21162 4      I       2902                
   0.00022    .00000    .00000    .00000   5.654516304462173       0.2      2903                
  0.000   0.000  0.0000  0.0000  0.0000  0.0000          0.000              2904
   0.00000   0.00231    .00000    .00000    .00000    .00000                2905                
    14.348    16.777   996.500   908.523    71.591    64.000 0 0            2906                
        0.8334928271   0.05606        2.0258825447   0.08177  0             2908                
NYALES20  URUMQI    0059+581 2019 05 09 18 33  48.0000000000                3001                
   10331017.15822965   0.01267  -451097.9281904456   0.01066 0      I       3002                
   0.00258    .00000    .00000    .00000   3.133628470349911       0.0      3003                
  0.118   0.472 -0.0018 -0.0118  0.0011  0.0155     915000.084              3004
  -0.08004   0.00000    .00000    .00000    .00000    .00000                3005                
    -2.283     6.023  1013.700   794.977    55.183    63.565 0 0            3006                
        0.6560773428   0.00629       -0.0045289202   0.00489  0             3008                
NYALES20  WETTZ13N  0059+581 2019 05 09 18 33  48.0000000000                3101                
    8377155.19259905   0.01485   225521.5120164260   0.03025 0      I       3102                
   0.00064    .00000    .00000    .00000   2.169164548419661       0.0      3103                
  0.118   0.840 -0.0018  0.0006  0.0011  0.0048     720364.636              3104
  -0.08004   0.00000    .00000    .00000    .00000    .00000                3105                
    -2.283     8.100  1013.700   933.515    55.183    99.815 0 0            3106                
        0.6961205673   0.00823       -0.0345828287   0.00813  0             3108                
NYALES20  YEBES40M  0059+581 2019 05 09 18 33  48.0000000000                3201                
    9562614.73447980   0.10685   398054.2418878878   0.27449 4      I       3202                
   0.00015    .00000    .00000    .00000   6.077468363511979       0.2      3203                
  0.000   0.000  0.0000  0.0000  0.0000  0.0000          0.000              3204
  -0.08004   0.00231    .00000    .00000    .00000    .00000                3205                
    -2.283    16.777  1013.700   908.523    55.183    64.000 0 0            3206                
        0.1201828973   0.06377        1.9684383170   0.09167  0             3208                
URUMQI    WETTZ13N  0059+581 2019 05 09 18 33  48.0000000000                3301                
   -1953868.82488944   0.03563   676619.6850211727   0.02997 0      I       3302                
   0.00092    .00000    .00000    .00000  -2.278413408447164       0.0      3303                
  0.472   0.840 -0.0118  0.0006  0.0155  0.0048    -194635.448              3304
   0.00000   0.00000    .00000    .00000    .00000    .00000                3305                
     6.023     8.100   794.977   933.515    63.565    99.815 0 0            3306                
        0.0848571790   0.01606       -0.0393571581   0.00929  0             3308                
URUMQI    YEBES40M  0059+581 2019 05 09 18 33  48.0000000000                3401                
    -768449.68805966   0.26435   849120.0638362041   0.26863 4      I       3402                
   0.00023    .00000    .00000    .00000  -3.289983723212899       0.2      3403                
  0.000   0.000  0.0000  0.0000  0.0000  0.0000          0.000              3404
   0.00000   0.00231    .00000    .00000    .00000    .00000                3405                
     6.023    16.777   794.977   908.523    63.565    64.000 0 0            3406                
       -0.7196084520   0.11856        2.3521177110   0.08681  0             3408                
WETTZ13N  YEBES40M  0059+581 2019 05 09 18 33  48.0000000000                3501                
    1185435.87510247   0.10566   172505.7024130395   0.27142 4      I       3502                
   0.00016    .00000    .00000    .00000   0.378595812803505       0.2      3503                
  0.000   0.000  0.0000  0.0000  0.0000  0.0000          0.000              3504
   0.00000   0.00231    .00000    .00000    .00000    .00000                3505                
     8.100    16.777   933.515   908.523    99.815    64.000 0 0            3506                
       -1.8703844157   0.06063        6.2208208500   0.08448  0             3508                
FORTLEZA  HART15M   1055+018 2019 05 09 18 33  57.0000000000                3601                
   -7340260.24556304   0.00931  1513849.8540985880   0.01897 0      I       3602                
   0.00103    .00000    .00000    .00000  -1.831837645789755       0.0      3603                
  2.109   0.323  0.0004  0.0017  0.0118 -0.0000      13038.571              3604
   0.01259   0.00000    .00000    .00000    .00000    .00000                3605                
    28.800    11.188  1006.000   867.812    84.200    69.663 0 0            3606                
       -0.5435103170   0.00746       -0.0577408689   0.00895  0             3608                
KATH12M   WARK12M   1749+096 2019 05 09 18 34  47.0000000000                3701                
   10913432.35948344   0.01217   720058.3571049180   0.02396 0      I       3702                
   0.00078    .00000    .00000    .00000   2.015559675172452       0.0      3703                
  0.566   1.478  0.0040  0.0312 -0.0013  0.0474    -185040.657              3704
   0.00000   0.00000    .00000    .00000    .00000    .00000                3705                
    22.715    16.000   997.782  1013.800    24.890   100.000 0 0            3706                
        1.1237200300   0.02874       -0.0360886208   0.03750  0             3708                
KATH12M   YARRA12M  1749+096 2019 05 09 18 34  47.0000000000                3801                
    2638771.26206549   0.00788  -415969.6082547373   0.01294 0      I       3802                
   0.00110    .00000    .00000    .00000  -0.656635656272662       0.0      3803                
  0.566   0.214  0.0040 -0.0048 -0.0013  0.0012    -163583.432              3804
   0.00000   0.00000    .00000    .00000    .00000    .00000                3805                
    22.715    13.387   997.782   997.700    24.890    30.127 0 0            3806                
        0.0345304874   0.02229       -0.0287464968   0.02433  0             3808                
WARK12M   YARRA12M  1749+096 2019 05 09 18 34  47.0000000000                3901                
   -8274648.63543744   0.01227 -1136027.5870548496   0.02417 0      I       3902                
   0.00076    .00000    .00000    .00000  -0.401875336129728       0.0      3903                
  1.478   0.214  0.0312 -0.0048  0.0474  0.0012      21457.225              3904
   0.00000   0.00000    .00000    .00000    .00000    .00000                3905                
    16.000    13.387  1013.800   997.700   100.000    30.127 0 0            3906                
       -0.9709931706   0.02712        0.0550745824   0.03531  0             3908                
KATH12M   WETTZ13N  3C418    2019 05 09 18 36  55.0000000000                4001                
    1960985.97269372   0.04480   171655.2231479076   0.09127 0      I       4002                
   0.00021    .00000    .00000    .00000   1.960559672865972       0.1      4003                
  1.589   1.296  0.0681  0.0004  0.0184 -0.0115     -19407.034              4004
   0.00000   0.00000    .00000    .00000    .00000    .00000                4005                
    22.721     8.109   997.790   933.600    25.065    99.891 0 0            4006                
        1.0419125848   0.03281       -0.0285351984   0.03824  0             4008                
ISHIOKA   NYALES20  0602+673 2019 05 09 18 37  36.0000000000                4101                
  -14897256.67733978   0.02526   225667.4563234234   0.01131 0      I       4102                
   0.00018    .00000    .00000    .00000  -0.467333904932086       0.0      4103                
  0.904   0.093 -0.0362 -0.0000 -0.0036  0.0008    -719863.573              4104
   0.00000  -0.08967    .00000    .00000    .00000    .00000                4105                
    14.259    -2.526   996.540  1013.800    70.157    53.871 0 0            4106                
        0.1495569773   0.01745       -0.0204403311   0.00436  0             4108                
ISHIOKA   URUMQI    0602+673 2019 05 09 18 37  36.0000000000                4201                
   -3613376.01125558   0.04836   391450.5284806807   0.00849 0      I       4202                
   0.00031    .00000    .00000    .00000  -2.623271996955922       0.0      4203                
  0.904   0.305 -0.0362 -0.0055 -0.0036 -0.0055     195137.210              4204
   0.00000   0.00000    .00000    .00000    .00000    .00000                4205                
    14.259     5.935   996.540   794.867    70.157    63.627 0 0            4206                
        0.8383967073   0.02165       -0.0128862416   0.00253  0             4208                
ISHIOKA   YEBES40M  0602+673 2019 05 09 18 37  36.0000000000                4301                
  -11489092.06720363   0.09413   474666.3219075845   0.03862 4      I       4302                
   0.00006    .00000    .00000    .00000  -2.288729695561804       0.2      4303                
  0.000   0.000  0.0000  0.0000  0.0000  0.0000          0.000              4304
   0.00000   0.00320    .00000    .00000    .00000    .00000                4305                
    14.259    16.700   996.540   908.633    70.157    64.332 0 0            4306                
        0.5254367673   0.05803       -6.6603464353   0.01365  0             4308                
NYALES20  URUMQI    0602+673 2019 05 09 18 37  36.0000000000                4401                
   11283883.07409975   0.04429   165782.5929825831   0.00818 0      I       4402                
   0.00035    .00000    .00000    .00000  -1.217949852912554       0.0      4403                
  0.093   0.305 -0.0000 -0.0055  0.0008 -0.0055     915000.782              4404
  -0.08967   0.00000    .00000    .00000    .00000    .00000                4405                
    -2.526     5.935  1013.800   794.867    53.871    63.627 0 0            4406                
        0.6802262928   0.01979        0.0123823714   0.00241  0             4408                
NYALES20  YEBES40M  0602+673 2019 05 09 18 37  36.0000000000                4501                
    3408212.37547495   0.09747   249026.5762503096   0.04363 4      I       4502                
   0.00010    .00000    .00000    .00000   3.457629181201169       0.2      4503                
  0.000   0.000  0.0000  0.0000  0.0000  0.0000          0.000              4504
  -0.08967   0.00320    .00000    .00000    .00000    .00000                4505                
    -2.526    16.700  1013.800   908.633    53.871    64.332 0 0            4506                
       -1.2362306228   0.05790       -6.1763399585   0.01448  0             4508                
URUMQI    YEBES40M  0602+673 2019 05 09 18 37  36.0000000000                4601                
   -7875699.11088509   0.24187    83194.6761442569   0.04244 4      I       4602                
   0.00010    .00000    .00000    .00000   0.698108597875275       0.2      4603                
  0.000   0.000  0.0000  0.0000  0.0000  0.0000          0.000              4604
   0.00000   0.00320    .00000    .00000    .00000    .00000                4605                
