DATA IN NGS FORMAT FROM DATABASE 19MAY16XE_V005                                                 
NRAO150    3 59    29.747267  50 57    50.161630                                                
0912+029   9 14    37.913432   2 45    59.246940                                                
0648-165   6 50    24.581855 -16 37    39.725190                                                
0800+618   8  5    18.179568  61 44    23.700300                                                
2208-137  22 11    24.099454 -13 28     9.723890                                                
1342+662  13 43    45.959571  66  2    25.745100                                                
1504+377  15  6     9.529968  37 30    51.132500                                                
0537-441   5 38    50.361552 -44  5     8.938920                                                
1624-617  16 28    54.689824 -61 52    36.397890                                                
2357-318  23 59    35.491543 -31 33    43.824250                                                
1123+264  11 25    53.711923  26 10    19.978680                                                
2209+236  22 12     5.966311  23 55    40.543830                                                
2149+056  21 51    37.875493   5 52    12.954540                                                
2358+189   0  1     8.621568  19 14    33.801720                                                
0646-306   6 48    14.096471 -30 44    19.659680                                                
2000+148  20  2    41.999235  15  1    14.574030                                                
NRAO512   16 40    29.632772  39 46    46.028500                                                
1219+044  12 22    22.549621   4 13    15.776180                                                
0656+082   6 59    17.996034   8 13    30.953300                                                
0434-188   4 37     1.482738 -18 44    48.613520                                                
0338-214   3 40    35.607858 -21 19    31.172030                                                
NGC0315    0 57    48.883350  30 21     8.811970                                                
$END                                                                                            
  .8220990000000D+04           GR PH                                                            
$END                                                                                            
ISHIOKA   KATH12M   1511-100 2019 05 16 18 30  30.0000000000                 101                
   -7126928.56251916    .02068   113455.6631048048    .02716 0      I        102                
    .00037    .00000    .00000    .00000   -.297705024432466        0.       103                
  0.000   0.000  0.0000  0.0000  0.0000  0.0000          0.000               104
    .00000    .00000    .00000    .00000    .00000    .00000                 105                
    14.423    24.497  1005.300   995.697    98.900    74.127 0 0             106                
        3.4387305154    .01455        -.0097853241    .01292  0              108                
ISHIOKA   YARRA12M  1511-100 2019 05 16 18 30  30.0000000000                 201                
  -10798888.89141711    .02263  -271404.1308368170    .02971 0      I        202                
    .00034    .00000    .00000    .00000  -2.278903430087738        0.       203                
  0.000   0.000  0.0000  0.0000  0.0000  0.0000          0.000               204
    .00000    .00000    .00000    .00000    .00000    .00000                 205                
    14.423     8.577  1005.300   991.123    98.900    87.069 0 0             206                
        7.5778575675    .01623         .0015086352    .01441  0              208                
KATH12M   YARRA12M  1511-100 2019 05 16 18 30  30.0000000000                 301                
   -3671963.05524782    .01427  -384859.6630787370    .00753 0      I        302                
    .00034    .00000    .00000    .00000  -5.511387907469173        0.       303                
  0.000   0.000  0.0000  0.0000  0.0000  0.0000          0.000               304
    .00000    .00000    .00000    .00000    .00000    .00000                 305                
    24.497     8.577   995.697   991.123    74.127    87.069 0 0             306                
        4.1202530185    .01627         .0054555450    .00578  0              308                
HART15M   ISHIOKA   1511-100 2019 05 16 18 30  30.0000000000                 401                
    8592375.05920050    .04925  2142632.7376027280    .10034 0      I        402                
    .00019    .00000    .00000    .00000   -.143077330879098        0.       403                
  0.441   1.367  0.0009 -0.0079 -0.0032  0.0347      -3046.964               404
    .00000    .00000    .00000    .00000    .00000    .00000                 405                
    12.068    14.423   867.000  1005.300    69.245    98.900 0 0             406                
       -4.0577119103    .01251        -.0154863962    .01806  0              408                
HART15M   KATH12M   1511-100 2019 05 16 18 30  30.0000000000                 501                
    1465415.05615027    .10714  2256066.5860594120    .21828 2      I        502                
    .00011    .00000    .00000    .00000    .433908037458283        0.       503                
  0.000   0.000  0.0000  0.0000  0.0000  0.0000          0.000               504
    .00000    .00000    .00000    .00000    .00000    .00000                 505                
    12.068    24.497   867.000   995.697    69.245    74.127 0 0             506                
        1.9361723051    .01943        1.7273053700    .02938  0              508                
HART15M   YARRA12M  1511-100 2019 05 16 18 30  30.0000000000                 601                
   -2206516.08988694    .06646  1871228.0926139130    .13540 0      I        602                
    .00014    .00000    .00000    .00000  -3.936711621282140        0.       603                
  0.000   0.000  0.0000  0.0000  0.0000  0.0000          0.000               604
    .00000    .00000    .00000    .00000    .00000    .00000                 605                
    12.068     8.577   867.000   991.123    69.245    87.069 0 0             606                
        3.5593288695    .01752         .0077711064    .02520  0              608                
HART15M   MATERA    1511-100 2019 05 16 18 30  30.0000000000                 701                
    8504014.65468735    .10488    34233.0732895367    .20265 8      I        702                
    .00013    .00000    .00000    .00000   1.331842067458665        0.       703                
  0.000   0.000  0.0000  0.0000  0.0000  0.0000          0.000               704
    .00000    .01792    .00000    .00000    .00000    .00000                 705                
    12.068    10.791   867.000   954.209    69.245    94.809 0 0             706                
        -.0576362229    .05563       -6.4880290642    .06397  0              708                
MATERA    YARRA12M  1511-100 2019 05 16 18 30  30.0000000000                 801                
  -10710505.38534648    .11461  1837008.1279419600    .11266 8      I        802                
    .00007    .00000    .00000    .00000    .430756852098447        0.       803                
  0.000   0.000  0.0000  0.0000  0.0000  0.0000          0.000               804
    .01792    .00000    .00000    .00000    .00000    .00000                 805                
    10.791     8.577   954.209   991.123    94.809    87.069 0 0             806                
       -2.0177620396    .05656        2.2075126011    .03319  0              808                
ISHIOKA   MATERA    1511-100 2019 05 16 18 30  30.0000000000                 901                
     -88320.07464637    .09594 -2108446.9630234170    .11686 8      I        902                
    .00013    .00000    .00000    .00000  -4.414860090768819        0.       903                
  0.000   0.000  0.0000  0.0000  0.0000  0.0000          0.000               904
    .00000    .01792    .00000    .00000    .00000    .00000                 905                
    14.423    10.791  1005.300   954.209    98.900    94.809 0 0             906                
        1.9884880033    .05538        5.3899328842    .04002  0              908                
KATH12M   MATERA    1511-100 2019 05 16 18 30  30.0000000000                1001                
    7038589.31968232    .10306 -2221860.3721826070    .10131 8      I       1002                
    .00008    .00000    .00000    .00000   1.295611625040900        0.      1003                
  0.000   0.000  0.0000  0.0000  0.0000  0.0000          0.000              1004
    .00000    .01792    .00000    .00000    .00000    .00000                1005                
    24.497    10.791   995.697   954.209    74.127    94.809 0 0            1006                
        2.5536055248    .05669        3.0663879679    .03311  0             1008                
FORTLEZA  YEBES40M  0529+483 2019 05 16 18 30  47.0000000000                1101                
   -3650673.13995937    .01071   201026.5107563872    .01438 0      I       1102                
    .00073    .00000    .00000    .00000  -4.340962963157410        0.      1103                
  0.000   0.000  0.0000  0.0000  0.0000  0.0000          0.000              1104
   -.04369   -.01012    .00000    .00000    .00000    .00000                1105                
    27.300    22.462  1007.700   899.681    79.700    25.188 0 0            1106                
       -2.0235825312    .01423         .0056217584    .01406  0             1108                
HART15M   ISHIOKA   1657-261 2019 05 16 18 32  38.0000000000                1201                
    1589342.70325102    .01577  1890645.2046806210    .03213 0      I       1202                
    .00060    .00000    .00000    .00000    .547962738120402        0.      1203                
  0.736   1.089 -0.0059 -0.0096 -0.0104  0.0134      -3046.969              1204
    .00000    .00000    .00000    .00000    .00000    .00000                1205                
    12.242    14.500   867.000  1005.300    69.361    98.900 0 0            1206                
       -4.0627874394    .01150        -.0044795360    .01583  0             1208                
MATERA    YEBES40M  0059+581 2019 05 16 18 34  31.0000000000                1301                
   -1683404.51467969    .00717   171346.5183679448    .01434 0      I       1302                
    .00152    .00000    .00000    .00000   1.137582708590851        0.      1303                
  0.000   0.000  0.0000  0.0000  0.0000  0.0000          0.000              1304
    .00628   -.00706    .00000    .00000    .00000    .00000                1305                
    10.700    22.278   954.300   899.607    94.900    26.074 0 0            1306                
       -2.1571944012    .00705        -.0162274152    .00898  0             1308                
ISHIOKA   MATERA    0059+581 2019 05 16 18 34  31.0000000000                1401                
    7561372.14803025    .03476   924315.5355319969    .06492 0      I       1402                
    .00030    .00000    .00000    .00000    .625176932738047        0.      1403                
  0.624   1.572  0.0026  0.0991 -0.0042  0.0161      -4310.339              1404
    .00000    .00628    .00000    .00000    .00000    .00000                1405                
    14.408    10.700  1005.300   954.300    98.839    94.900 0 0            1406                
        4.7935864664    .01485        -.0081187532    .01667  0             1408                
ISHIOKA   YEBES40M  0059+581 2019 05 16 18 34  31.0000000000                1501                
    5877968.90215944    .01120  1095662.0849772860    .02364 0      I       1502                
    .00087    .00000    .00000    .00000   6.035635961741233        0.      1503                
  0.000   0.000  0.0000  0.0000  0.0000  0.0000          0.000              1504
    .00000   -.00706    .00000    .00000    .00000    .00000                1505                
    14.408    22.278  1005.300   899.607    98.839    26.074 0 0            1506                
        2.6788469824    .00726        -.0102362611    .01132  0             1508                
FORTLEZA  HART15M   0537-286 2019 05 16 18 35  43.0000000000                1601                
   14117913.31653161    .05323   550438.0402151757    .04839 0      I       1602                
    .00012    .00000    .00000    .00000   2.340769194842497        0.      1603                
  1.277   2.178 -0.0014 -0.0811  0.0007  0.0911       3356.902              1604
   -.04694    .00000    .00000    .00000    .00000    .00000                1605                
    27.300    11.983  1007.700   867.017    79.700    69.270 0 0            1606                
        -.3300127993    .01956        -.0063634340    .01226  0             1608                
ISHIOKA   YARRA12M  2059+034 2019 05 16 18 38  57.0000000000                1701                
    4650465.68865389    .00959  -522045.6173721695    .00283 0      I       1702                
    .00038    .00000    .00000    .00000    .972545217679069        0.      1703                
  0.000   0.000  0.0000  0.0000  0.0000  0.0000          0.000              1704
    .00000    .00000    .00000    .00000    .00000    .00000                1705                
    14.232     8.300  1005.300   991.400    98.700    89.069 0 0            1706                
        7.7496285855    .02707        -.0174003748    .00537  0             1708                
FORTLEZA  YEBES40M  OJ287    2019 05 16 18 41  15.0000000000                1801                
    -749194.02816123    .00312   779523.4218529054    .00659 0      I       1802                
    .00313    .00000    .00000    .00000  -3.505394040616177        0.      1803                
  0.000   0.000  0.0000  0.0000  0.0000  0.0000          0.000              1804
   -.04069   -.00357    .00000    .00000    .00000    .00000                1805                
    27.300    22.000  1007.700   899.683    79.700    27.000 0 0            1806                
       -1.8607514321    .00630        -.0265499584    .00978  0             1808                
MATERA    YEBES40M  OJ287    2019 05 16 18 41  15.0000000000                1901                
   -2415910.18779980    .00197  -337513.1725285981    .00394 0      I       1902                
    .00550    .00000    .00000    .00000  -4.616173231257871        0.      1903                
  0.000   0.000  0.0000  0.0000  0.0000  0.0000          0.000              1904
    .00114   -.00357    .00000    .00000    .00000    .00000                1905                
    10.600    22.000   954.400   899.683    95.024    27.000 0 0            1906                
       -2.1529049576    .00429         .0061226181    .00544  0             1908                
HART15M   MATERA    OJ287    2019 05 16 18 41  15.0000000000                2001                
   -7994074.38501459    .00803  -308437.4888268291    .01551 0      I       2002                
    .00132    .00000    .00000    .00000  -1.240350632947592        0.      2003                
  0.725   0.406  0.0104 -0.0015  0.0076  0.0025      -7357.434              2004
    .00000    .00114    .00000    .00000    .00000    .00000                2005                
    11.900    10.600   867.100   954.400    69.686    95.024 0 0            2006                
         .5509181234    .00462         .0041527233    .00529  0             2008                
FORTLEZA  MATERA    OJ287    2019 05 16 18 41  15.0000000000                2101                
    1666716.74294044    .01112  1117036.9767371170    .02077 0      I       2102                
    .00095    .00000    .00000    .00000   4.938831176287511        0.      2103                
  1.164   0.406  0.0011 -0.0015 -0.0004  0.0025      -4000.592              2104
   -.04069    .00114    .00000    .00000    .00000    .00000                2105                
    27.300    10.600  1007.700   954.400    79.700    95.024 0 0            2106                
         .3218833583    .01170        -.0433884723    .01281  0             2108                
FORTLEZA  HART15M   OJ287    2019 05 16 18 41  15.0000000000                2201                
    9660794.09463206    .01256  1425474.9086573950    .02560 0      I       2202                
    .00076    .00000    .00000    .00000   3.101015665956910        0.      2203                
  1.164   0.725  0.0011  0.0104 -0.0004  0.0076       3356.841              2204
   -.04069    .00000    .00000    .00000    .00000    .00000                2205                
    27.300    11.900  1007.700   867.100    79.700    69.686 0 0            2206                
        -.2257515795    .00693        -.0375465043    .00959  0             2208                
HART15M   YEBES40M  OJ287    2019 05 16 18 41  15.0000000000                2301                
  -10409981.87888195    .00226  -645950.6464864153    .00476 0      I       2302                
    .00431    .00000    .00000    .00000  -2.303712373538480        0.      2303                
  0.000   0.000  0.0000  0.0000  0.0000  0.0000          0.000              2304
    .00000   -.00357    .00000    .00000    .00000    .00000                2305                
    11.900    22.000   867.100   899.683    69.686    27.000 0 0            2306                
       -1.6446911816    .00240         .0097942195    .00373  0             2308                
MATERA    YEBES40M  1255-316 2019 05 16 18 44   3.0000000000                2401                
    2508194.66199944    .00930  -290204.9102836875    .01797 8      I       2402                
    .00116    .00000    .00000    .00000   2.958048922842077        0.      2403                
  0.000   0.000  0.0000  0.0000  0.0000  0.0000          0.000              2404
    .01178   -.00462    .00000    .00000    .00000    .00000                2405                
    10.600    21.984   954.400   899.616    95.212    27.000 0 0            2406                
         .0000000000    .00000         .0000000000    .00000  0             2408                
HART15M   MATERA    1255-316 2019 05 16 18 44   3.0000000000                2501                
   15465664.61040462    .02079  -144466.4783762324    .03758 8      I       2502                
    .00049    .00000    .00000    .00000   4.139672725853733        0.      2503                
  0.000   0.000  0.0000  0.0000  0.0000  0.0000          0.000              2504
    .00000    .01178    .00000    .00000    .00000    .00000                2505                
    11.900    10.600   867.116   954.400    70.084    95.212 0 0            2506                
         .0000000000    .00000         .0000000000    .00000  0             2508                
HART15M   YEBES40M  1255-316 2019 05 16 18 44   3.0000000000                2601                
   17973854.78703466    .00698  -434671.5149718953    .01472 0      I       2602                
    .00139    .00000    .00000    .00000   4.013433563861796        0.      2603                
  0.000   0.000  0.0000  0.0000  0.0000  0.0000          0.000              2604
    .00000   -.00462    .00000    .00000    .00000    .00000                2605                
    11.900    21.984   867.116   899.616    70.084    27.000 0 0            2606                
        -.6685726744    .00638         .1242773802    .00992  0             2608                
KATH12M   YARRA12M  0104-408 2019 05 16 18 44  12.0000000000                2701                
     861645.52692216    .02128   152456.0841787277    .01849 0      I       2702                
    .00030    .00000    .00000    .00000   1.690312871247146        0.      2703                
  0.000   0.000  0.0000  0.0000  0.0000  0.0000          0.000              2704
    .00000    .00000    .00000    .00000    .00000    .00000                2705                
    24.400     8.300   995.600   991.437    74.937    89.951 0 0            2706                
        4.0735436966    .02462        -.0035861404    .01440  0             2708                
ISHIOKA   KATH12M   2355-106 2019 05 16 18 46  47.0000000000                2801                
   -2002040.71007807    .02402  -299354.5478479617    .02782 0      I       2802                
    .00030    .00000    .00000    .00000  -3.799154290973476        0.      2803                
  0.000   0.000  0.0000  0.0000  0.0000  0.0000          0.000              2804
    .00000    .00000    .00000    .00000    .00000    .00000                2805                
    14.254    24.400  1005.300   995.626    98.677    75.051 0 0            2806                
        3.4961487439    .01320         .0338137974    .01039  0             2808                
ISHIOKA   YARRA12M  2355-106 2019 05 16 18 46  47.0000000000                2901                
    3005691.11867826    .02461  -229902.4839459597    .02797 0      I       2902                
    .00029    .00000    .00000    .00000   4.406929995990891        0.      2903                
  0.000   0.000  0.0000  0.0000  0.0000  0.0000          0.000              2904
    .00000    .00000    .00000    .00000    .00000    .00000                2905                
    14.254     8.273  1005.300   991.527    98.677    86.247 0 0            2906                
        7.7963393919    .01435         .0393539588    .01107  0             2908                
KATH12M   YARRA12M  2355-106 2019 05 16 18 46  47.0000000000                3001                
    5007731.99100325    .02182    69451.9241183873    .01842 0      I       3002                
    .00028    .00000    .00000    .00000   2.660959987438288        0.      3003                
  0.000   0.000  0.0000  0.0000  0.0000  0.0000          0.000              3004
    .00000    .00000    .00000    .00000    .00000    .00000                3005                
    24.400     8.273   995.626   991.527    75.051    86.247 0 0            3006                
        4.2644972396    .02098         .0053870225    .01194  0             3008                
FORTLEZA  YEBES40M  1149-084 2019 05 16 18 47   2.0000000000                3101                
   -1903706.07570835    .01511   833538.5409701126    .03188 0      I       3102                
    .00065    .00000    .00000    .00000  -2.042778646251661        0.      3103                
  0.000   0.000  0.0000  0.0000  0.0000  0.0000          0.000              3104
   -.03944   -.00498    .00000    .00000    .00000    .00000                3105                
    27.300    21.884  1007.700   899.700    79.700    27.164 0 0            3106                
       -1.8857321109    .01353        -.0312573493    .02105  0             3108                
MATERA    YEBES40M  1149-084 2019 05 16 18 47   2.0000000000                3201                
    1437210.19264514    .00974  -386697.6184772386    .01948 0      I       3202                
    .00112    .00000    .00000    .00000    .548659520930108        0.      3203                
  0.000   0.000  0.0000  0.0000  0.0000  0.0000          0.000              3204
    .01064   -.00498    .00000    .00000    .00000    .00000                3205                
    10.600    21.884   954.411   899.700    95.311    27.164 0 0            3206                
       -2.0083156676    .01625         .0062446083    .02063  0             3208                
HART15M   MATERA    1149-084 2019 05 16 18 47   2.0000000000                3301                
    6463571.95187517    .02576  -242872.1884741000    .04978 0      I       3302                
    .00041    .00000    .00000    .00000  -3.089166197002711        0.      3303                
  0.299   0.511  0.0010 -0.0076  0.0002 -0.0007      -7357.537              3304
    .00000    .01064    .00000    .00000    .00000    .00000                3305                
    11.860    10.600   867.200   954.411    70.008    95.311 0 0            3306                
         .7110983949    .01566        -.0044667357    .01792  0             3308                
FORTLEZA  MATERA    1149-084 2019 05 16 18 47   2.0000000000                3401                
   -3340917.55402698    .05697  1220236.4921748720    .09976 0      I       3402                
    .00018    .00000    .00000    .00000  -2.819800768546647        0.      3403                
  2.055   0.511 -0.0010 -0.0076 -0.0036 -0.0007      -4000.760              3404
   -.03944    .01064    .00000    .00000    .00000    .00000                3405                
    27.300    10.600  1007.700   954.411    79.700    95.311 0 0            3406                
         .1736305332    .02562        -.0641720774    .02690  0             3408                
FORTLEZA  HART15M   1149-084 2019 05 16 18 47   2.0000000000                3501                
   -9804491.91366850    .03897  1463109.0470501800    .07941 0      I       3502                
    .00025    .00000    .00000    .00000  -3.149398911377034        0.      3503                
  2.055   0.299 -0.0010  0.0010 -0.0036  0.0002       3356.777              3504
   -.03944    .00000    .00000    .00000    .00000    .00000                3505                
    27.300    11.860  1007.700   867.200    79.700    70.008 0 0            3506                
        -.5112285191    .01416        -.0804211486    .01990  0             3508                
HART15M   YEBES40M  1149-084 2019 05 16 18 47   2.0000000000                3601                
    7900779.61532036    .00739  -629569.7239603553    .01618 0      I       3602                
    .00134    .00000    .00000    .00000   2.670813949787690        0.      3603                
  0.000   0.000  0.0000  0.0000  0.0000  0.0000          0.000              3604
    .00000   -.00498    .00000    .00000    .00000    .00000                3605                
    11.860    21.884   867.200   899.700    70.008    27.164 0 0            3606                
       -1.3524103414    .00697         .0178374249    .01124  0             3608                
MATERA    YEBES40M  1418+546 2019 05 16 18 50   5.0000000000                3701                
    2556715.83172537    .02073  -148051.2556839044    .04148 0      I       3702                
    .00053    .00000    .00000    .00000    .757079905999281        0.      3703                
  0.000   0.000  0.0000  0.0000  0.0000  0.0000          0.000              3704
   -.00134   -.00437    .00000    .00000    .00000    .00000                3705                
    10.600    21.787   954.500   899.700    95.409    28.000 0 0            3706                
       -2.0828248778    .01407         .0242894142    .01801  0             3708                
ISHIOKA   MATERA    1418+546 2019 05 16 18 50   5.0000000000                3801                
   -6667466.49559101    .08897 -1181404.2839350520    .10607 2      I       3802                
    .00009    .00000    .00000    .00000   -.253485298481545        0.      3803                
  0.000   0.000  0.0000  0.0000  0.0000  0.0000          0.000              3804
    .00000   -.00134    .00000    .00000    .00000    .00000                3805                
    14.100    10.600  1005.313   954.500    98.613    95.409 0 0            3806                
         .7326900854    .03170         .0142704084    .02303  0             3808                
ISHIOKA   YEBES40M  1418+546 2019 05 16 18 50   5.0000000000                3901                
   -4110799.60825638    .05670 -1329455.1743476500    .11965 0      I       3902                
    .00017    .00000    .00000    .00000  -5.650502388067205        0.      3903                
  0.000   0.000  0.0000  0.0000  0.0000  0.0000          0.000              3904
    .00000   -.00437    .00000    .00000    .00000    .00000                3905                
    14.100    21.787  1005.313   899.700    98.613    28.000 0 0            3906                
        2.5526866799    .02267        -.0334414261    .03572  0             3908                
KATH12M   YARRA12M  2355-534 2019 05 16 18 50  26.0000000000                4001                
    -400349.58870659    .01286    37873.8400294133    .00844 0      I       4002                
    .00042    .00000    .00000    .00000  -5.071988698159255        0.      4003                
  0.000   0.000  0.0000  0.0000  0.0000  0.0000          0.000              4004
    .00000    .00000    .00000    .00000    .00000    .00000                4005                
    24.400     8.160   995.700   991.600    75.319    86.181 0 0            4006                
        4.1043119163    .01510         .0024973254    .00667  0             4008                
KATH12M   YARRA12M  1057-797 2019 05 16 18 53   2.0000000000                4101                
   -5965997.25538097    .00832     9703.8008395563    .00323 0      I       4102                
    .00050    .00000    .00000    .00000  -1.291270006673798        0.      4103                
  0.000   0.000  0.0000  0.0000  0.0000  0.0000          0.000              4104
    .00000    .00000    .00000    .00000    .00000    .00000                4105                
    24.393     8.092   995.700   991.608    75.515    86.300 0 0            4106                
        4.0382956207    .01042        -.0228195012    .00273  0             4108                
HART15M   KATH12M   1057-797 2019 05 16 18 53   2.0000000000                4201                
    9005021.04551253    .01493   127672.5191443321    .03042 0      I       4202                
    .00064    .00000    .00000    .00000   4.019339656211265        0.      4203                
  0.000   0.000  0.0000  0.0000  0.0000  0.0000          0.000              4204
    .00000    .00000    .00000    .00000    .00000    .00000                4205                
    11.422    24.393   867.211   995.700    70.133    75.515 0 0            4206                
        -.4394119390    .01388         .0293951935    .01906  0             4208                
HART15M   YARRA12M  1057-797 2019 05 16 18 53   2.0000000000                4301                
    3039023.91566324    .00933   137376.8677882485    .01901 0      I       4302                
    .00102    .00000    .00000    .00000   5.233350693871592        0.      4303                
  0.000   0.000  0.0000  0.0000  0.0000  0.0000          0.000              4304
    .00000    .00000    .00000    .00000    .00000    .00000                4305                
    11.422     8.092   867.211   991.608    70.133    86.300 0 0            4306                
        3.5919086225    .01222        -.0142839056    .01675  0             4308                
FORTLEZA  YARRA12M  1057-797 2019 05 16 18 53   2.0000000000                4401                
   -5186727.90932040    .01203   409566.9350643627    .00453 1      I       4402                
    .00034    .00000    .00000    .00000  -5.164567101869244        0.      4403                
  0.000   0.000  0.0000  0.0000  0.0000  0.0000          0.000              4404
   -.03744    .00000    .00000    .00000    .00000    .00000                4405                
    27.300     8.092  1007.700   991.608    79.700    86.300 0 0            4406                
       10.8466820583    .01172        -.0591176698    .00297  0             4408                
FORTLEZA  HART15M   1057-797 2019 05 16 18 53   2.0000000000                4501                
   -8225750.67715652    .01617   272190.3414411371    .03295 0      I       4502                
    .00059    .00000    .00000    .00000  -2.061692016839241        0.      4503                
  5.351   0.480 -0.0562 -0.0072 -0.0036  0.0003       3356.711              4504
   -.03744    .00000    .00000    .00000    .00000    .00000                4505                
    27.300    11.422  1007.700   867.211    79.700    70.133 0 0            4506                
        -.5184977260    .01155        -.0260147432    .01591  0             4508                
FORTLEZA  KATH12M   1057-797 2019 05 16 18 53   2.0000000000                4601                
     779219.34928299    .01641   399863.1241261858    .00638 1      I       4602                
    .00026    .00000    .00000    .00000   1.951326892840831        0.      4603                
  0.000   0.000  0.0000  0.0000  0.0000  0.0000          0.000              4604
   -.03744    .00000    .00000    .00000    .00000    .00000                4605                
    27.300    24.393  1007.700   995.700    79.700    75.515 0 0            4606                
        2.9228106254    .01376        -.0416499155    .00361  0             4608                
MATERA    YEBES40M  1806+456 2019 05 16 18 54   8.0000000000                4701                
    3728182.08589411    .01688    84596.6385054771    .02149 0      I       4702                
    .00051    .00000    .00000    .00000   -.662696345123410        0.      4703                
  0.000   0.000  0.0000  0.0000  0.0000  0.0000          0.000              4704
   -.00299    .00100    .00000    .00000    .00000    .00000                4705                
    10.600    21.679   954.500   899.721    95.517    28.213 0 0            4706                
       -2.0600728469    .01577        -.0292232530    .01278  0             4708                
ISHIOKA   MATERA    1806+456 2019 05 16 18 54   8.0000000000                4801                
   11419149.58739406    .03781 -1195312.2498761190    .03162 0      I       4802                
    .00019    .00000    .00000    .00000   2.463514822116467        0.      4803                
  0.377   0.841  0.0003  0.0163  0.0009 -0.0124      -4310.651              4804
    .00000   -.00299    .00000    .00000    .00000    .00000                4805                
    14.204    10.600  1005.400   954.500    98.721    95.517 0 0            4806                
        4.6775788402    .01622         .0338964319    .00816  0             4808                
ISHIOKA   YEBES40M  1806+456 2019 05 16 18 54   8.0000000000                4901                
   15147332.63816887    .01813 -1110715.9383904040    .02434 0      I       4902                
    .00043    .00000    .00000    .00000   1.363965116527201        0.      4903                
  0.000   0.000  0.0000  0.0000  0.0000  0.0000          0.000              4904
    .00000    .00100    .00000    .00000    .00000    .00000                4905                
