DATA IN NGS FORMAT FROM DATABASE 19FEB25XA_V002                                                 
2008-159  20 11    15.710933 -15 46    40.253670                                                
2052-474  20 56    16.359819 -47 14    47.627650                                                
2113+293  21 15    29.413456  29 33    38.366970                                                
2126-158  21 29    12.175898 -15 38    41.041310                                                
2141+175  21 43    35.544565  17 43    48.787610                                                
2149+056  21 51    37.875493   5 52    12.954540                                                
2229+695  22 30    36.469705  69 46    28.076900                                                
2239+096  22 41    49.717308   9 53    52.444980                                                
2255-282  22 58     5.962885 -27 58    21.256740                                                
2309+454  23 11    47.408974  45 43    56.016490                                                
2319+317  23 21    54.955991  32  4     7.622540                                                
2335-027  23 37    57.339072 - 2 30    57.629290                                                
2353+816  23 56    22.793907  81 52    52.255150                                                
2355-534  23 57    53.266088 -53 11    13.689360                                                
3C274     12 30    49.423382  12 23    28.043780                                                
3C371     18  6    50.680649  69 49    28.108530                                                
3C418     20 38    37.034735  51 19    12.662590                                                
3C446     22 25    47.259293 - 4 57     1.390760                                                
CTA26      3 39    30.937788 - 1 46    35.804130                                                
NRAO150    3 59    29.747267  50 57    50.161630                                                
OJ287      8 54    48.874927  20  6    30.640890                                                
$END                                                                                            
    8.2129900000e+03           GR PH                                                            
$END                                                                                            
HART15M   ISHIOKA   0748+126 2019 02 25 17 00  40.0000000000                 101                
    4662323.17661916   0.10405  2042508.4387791452   0.15649 2      I        102                
   0.00008    .00000    .00000    .00000   2.798077363534870       0.2       103                
  0.000   0.000  0.0000  0.0000  0.0000  0.0000          0.000               104
   0.00000   0.00000    .00000    .00000    .00000    .00000                 105                
    18.079     8.634   862.879  1000.900    75.002    65.698 0 0             106                
        0.5580557003   0.04316       -2.2524409140   0.01657  0              108                
HART15M   KATH12M   0748+126 2019 02 25 17 00  40.0000000000                 201                
    4868937.71778243   0.08408  2200199.2594572245   0.07782 2      I        202                
   0.00008    .00000    .00000    .00000   0.691237642262871       0.1       203                
  0.000   0.000  0.0000  0.0000  0.0000  0.0000          0.000               204
   0.00000   0.00000    .00000    .00000    .00000    .00000                 205                
    18.079    25.082   862.879   994.967    75.002    87.647 0 0             206                
       -0.4608470359   0.03603       -0.0711473400   0.00995  0              208                
HART15M   MATERA    0748+126 2019 02 25 17 00  40.0000000000                 301                
    -585544.84918567   0.01285   -18284.7436128085   0.01364 0      I        302                
   0.00054    .00000    .00000    .00000  -6.050246596113626       0.0       303                
  0.928   0.197  0.0152 -0.0025  0.0127  0.0012      -5632.252               304
   0.00000   0.11735    .00000    .00000    .00000    .00000                 305                
    18.079     0.966   862.879   966.100    75.002    72.286 0 0             306                
        0.2792255042   0.01010       -0.0083294785   0.00521  0              308                
HART15M   NYALES20  0748+126 2019 02 25 17 00  40.0000000000                 401                
    5465843.60955503   0.01732   633286.7723972368   0.01603 0      I        402                
   0.00037    .00000    .00000    .00000  -1.512641277545000       0.0       403                
  0.928  -0.037  0.0152  0.0080  0.0127 -0.0234    -148915.015               404
   0.00000  -0.08806    .00000    .00000    .00000    .00000                 405                
    18.079   -22.774   862.879  1008.300    75.002    66.084 0 0             406                
       -0.2876432746   0.00830       -0.0126640806   0.00309  0              408                
HART15M   SEJONG    0748+126 2019 02 25 17 00  40.0000000000                 501                
    1190737.73368820   0.09794  1927139.1943737578   0.09065 4      I        502                
   0.00010    .00000    .00000    .00000   5.391425283534335       0.2       503                
  0.000   0.000  0.0000  0.0000  0.0000  0.0000          0.000               504
   0.00000   0.00000    .00000    .00000    .00000    .00000                 505                
    18.079     1.584   862.879   999.216    75.002    56.111 0 0             506                
       -0.6431205990   0.12714       -2.6529160430   0.02502  0              508                
HART15M   WETTZELL  0748+126 2019 02 25 17 00  40.0000000000                 601                
    1026374.42761089   0.00531    64209.3482285014   0.00492 0      I        602                
   0.00121    .00000    .00000    .00000   1.546743321619573       0.0       603                
  0.928   0.273  0.0152 -0.0000  0.0127  0.0012      -5416.157               604
   0.00000  -0.00221    .00000    .00000    .00000    .00000                 605                
    18.079    10.779   862.879   962.800    75.002    41.400 0 0             606                
        0.9021862634   0.00412       -0.0088547610   0.00222  0              608                
HART15M   YARRA12M  0748+126 2019 02 25 17 00  40.0000000000                 701                
    2374591.45622528   0.04035  1856087.7235517732   0.03734 0      I        702                
   0.00016    .00000    .00000    .00000   2.368939313905028       0.1       703                
  0.928   0.965  0.0152  0.0025  0.0127 -0.0195       5168.993               704
   0.00000   0.00000    .00000    .00000    .00000    .00000                 705                
    18.079    20.900   862.879   982.570    75.002    50.000 0 0             706                
       -0.4639678648   0.01868       -0.0343800463   0.00651  0              708                
ISHIOKA   KATH12M   0748+126 2019 02 25 17 00  40.0000000000                 801                
     206601.58993282   0.01949   157719.3997933218   0.02902 0      I        802                
   0.00042    .00000    .00000    .00000   4.136441778819249       0.0       803                
  0.618   2.917 -0.0000  0.0149 -0.0147 -0.0531       9265.792               804
   0.00000   0.00000    .00000    .00000    .00000    .00000                 805                
     8.634    25.082  1000.900   994.967    65.698    87.647 0 0             806                
       -0.0756450741   0.01809       -0.0585242522   0.01643  0              808                
ISHIOKA   MATERA    0748+126 2019 02 25 17 00  40.0000000000                 901                
   -5247870.32789384   0.05983 -2060760.1160314619   0.08905 0      I        902                
   0.00014    .00000    .00000    .00000  -3.330204646208039       0.1       903                
  0.618   0.197 -0.0000 -0.0025 -0.0147  0.0012      -2659.007               904
   0.00000   0.11735    .00000    .00000    .00000    .00000                 905                
     8.634     0.966  1000.900   966.100    65.698    72.286 0 0             906                
        0.6418334446   0.03004        0.0269912915   0.01650  0              908                
ISHIOKA   NYALES20  0748+126 2019 02 25 17 00  40.0000000000                1001                
     803514.92094844   0.02162 -1409189.5301320651   0.03218 0      I       1002                
   0.00038    .00000    .00000    .00000   2.311755918978847       0.0      1003                
  0.618  -0.037 -0.0000  0.0080 -0.0147 -0.0234    -145941.771              1004
   0.00000  -0.08806    .00000    .00000    .00000    .00000                1005                
     8.634   -22.774  1000.900  1008.300    65.698    66.084 0 0            1006                
        0.0936938919   0.01233       -0.0031826430   0.00910  0             1008                
ISHIOKA   SEJONG    0748+126 2019 02 25 17 00  40.0000000000                1101                
   -3471601.35521656   0.01517  -115268.6260032157   0.02258 4      I       1102                
   0.00054    .00000    .00000    .00000  -4.349342333211235       0.0      1103                
  0.000   0.000  0.0000  0.0000  0.0000  0.0000          0.000              1104
   0.00000   0.00000    .00000    .00000    .00000    .00000                1105                
     8.634     1.584  1000.900   999.216    65.698    56.111 0 0            1106                
       -2.0755699898   0.13407       -2.3086869835   0.04287  0             1108                
ISHIOKA   WETTZELL  0748+126 2019 02 25 17 00  40.0000000000                1201                
   -3635951.58323203   0.02180 -1978265.9178903017   0.03245 0      I       1202                
   0.00037    .00000    .00000    .00000  -2.894336255871349       0.0      1203                
  0.618   0.273 -0.0000 -0.0000 -0.0147  0.0012      -2442.913              1204
   0.00000  -0.00221    .00000    .00000    .00000    .00000                1205                
     8.634    10.779  1000.900   962.800    65.698    41.400 0 0            1206                
        1.2714292997   0.01182        0.0224819313   0.00834  0             1208                
ISHIOKA   YARRA12M  0748+126 2019 02 25 17 00  40.0000000000                1301                
   -2287742.96374347   0.02095  -186391.3609854130   0.03150 0      I       1302                
   0.00039    .00000    .00000    .00000   0.471681881596290       0.0      1303                
  0.618   0.965 -0.0000  0.0025 -0.0147 -0.0195       8142.238              1304
   0.00000   0.00000    .00000    .00000    .00000    .00000                1305                
     8.634    20.900  1000.900   982.570    65.698    50.000 0 0            1306                
       -0.0565841939   0.01576       -0.0197474968   0.01366  0             1308                
KATH12M   MATERA    0748+126 2019 02 25 17 00  40.0000000000                1401                
   -5454471.65148625   0.04214 -2218479.0772358314   0.04441 0      I       1402                
   0.00016    .00000    .00000    .00000  -3.522575158072714       0.1      1403                
  2.917   0.197  0.0149 -0.0025 -0.0531  0.0012     -11924.799              1404
   0.00000   0.11735    .00000    .00000    .00000    .00000                1405                
    25.082     0.966   994.967   966.100    87.647    72.286 0 0            1406                
        0.7211995142   0.02807        0.0402195529   0.01353  0             1408                
KATH12M   NYALES20  0748+126 2019 02 25 17 00  40.0000000000                1501                
     596913.65000925   0.01940 -1566908.6639318094   0.01718 0      I       1502                
   0.00032    .00000    .00000    .00000   1.373176458105567       0.0      1503                
  2.917  -0.037  0.0149  0.0080 -0.0531 -0.0234    -155207.562              1504
   0.00000  -0.08806    .00000    .00000    .00000    .00000                1505                
    25.082   -22.774   994.967  1008.300    87.647    66.084 0 0            1506                
        0.1767926617   0.01441        0.0450312153   0.00732  0             1508                
KATH12M   SEJONG    0748+126 2019 02 25 17 00  40.0000000000                1601                
   -3678202.88378221   0.02190  -272987.9884433505   0.01916 4      I       1602                
   0.00029    .00000    .00000    .00000  -5.829907300164829       0.0      1603                
  0.000   0.000  0.0000  0.0000  0.0000  0.0000          0.000              1604
   0.00000   0.00000    .00000    .00000    .00000    .00000                1605                
    25.082     1.584   994.967   999.216    87.647    56.111 0 0            1606                
       -1.3432164969   0.14106        9.7489248773   0.02651  0             1608                
KATH12M   WETTZELL  0748+126 2019 02 25 17 00  40.0000000000                1701                
   -3842552.80061451   0.01403 -2135984.9974625334   0.01266 0      I       1702                
   0.00045    .00000    .00000    .00000  -3.965679090775041       0.0      1703                
  2.917   0.273  0.0149 -0.0000 -0.0531  0.0012     -11708.704              1704
   0.00000  -0.00221    .00000    .00000    .00000    .00000                1705                
    25.082    10.779   994.967   962.800    87.647    41.400 0 0            1706                
        1.3538190395   0.01069        0.0402819362   0.00559  0             1708                
KATH12M   YARRA12M  0748+126 2019 02 25 17 00  40.0000000000                1801                
   -2494344.52787390   0.01575  -344110.6679547336   0.01034 0      I       1802                
   0.00034    .00000    .00000    .00000  -0.088731292745423       0.0      1803                
  2.917   0.965  0.0149  0.0025 -0.0531 -0.0195      -1123.554              1804
   0.00000   0.00000    .00000    .00000    .00000    .00000                1805                
    25.082    20.900   994.967   982.570    87.647    50.000 0 0            1806                
       -0.0106738402   0.01228        0.0187150979   0.00470  0             1808                
MATERA    NYALES20  0748+126 2019 02 25 17 00  40.0000000000                1901                
    6051388.80675676   0.01390   651571.5373485952   0.01465 0      I       1902                
   0.00049    .00000    .00000    .00000  -0.884037722011375       0.0      1903                
  0.197  -0.037 -0.0025  0.0080  0.0012 -0.0234    -143282.763              1904
   0.11735  -0.08806    .00000    .00000    .00000    .00000                1905                
     0.966   -22.774   966.100  1008.300    72.286    66.084 0 0            1906                
       -0.5448109350   0.00926       -0.0068316567   0.00446  0             1908                
MATERA    WETTZELL  0748+126 2019 02 25 17 00  40.0000000000                2001                
    1611919.30597335   0.00532    82494.1133706402   0.00561 0      I       2002                
   0.00129    .00000    .00000    .00000   3.805561856556206       0.0      2003                
  0.197   0.273 -0.0025 -0.0000  0.0012  0.0012        216.095              2004
   0.11735  -0.00221    .00000    .00000    .00000    .00000                2005                
     0.966    10.779   966.100   962.800    72.286    41.400 0 0            2006                
        0.6171191438   0.00493       -0.0020920237   0.00263  0             2008                
MATERA    YARRA12M  0748+126 2019 02 25 17 00  40.0000000000                2101                
    2960137.29527577   0.03077  1874372.4686530631   0.03267 0      I       2102                
   0.00022    .00000    .00000    .00000   1.992818276833993       0.1      2103                
  0.197   0.965 -0.0025  0.0025  0.0012 -0.0195      10801.245              2104
   0.11735   0.00000    .00000    .00000    .00000    .00000                2105                
     0.966    20.900   966.100   982.570    72.286    50.000 0 0            2106                
       -0.7318710495   0.02323       -0.0187529375   0.01184  0             2108                
NYALES20  WETTZELL  0748+126 2019 02 25 17 00  40.0000000000                2201                
   -4439465.98356889   0.00495  -569077.2159421160   0.00447 0      I       2202                
   0.00128    .00000    .00000    .00000  -1.930553171073777       0.0      2203                
 -0.037   0.273  0.0080 -0.0000 -0.0234  0.0012     143498.858              2204
  -0.08806  -0.00221    .00000    .00000    .00000    .00000                2205                
   -22.774    10.779  1008.300   962.800    66.084    41.400 0 0            2206                
        1.1782501915   0.00366       -0.0019129227   0.00189  0             2208                
NYALES20  YARRA12M  0748+126 2019 02 25 17 00  40.0000000000                2301                
   -3091259.06740361   0.01565  1222799.7969175426   0.01395 0      I       2302                
   0.00040    .00000    .00000    .00000   1.071016464512103       0.0      2303                
 -0.037   0.965  0.0080  0.0025 -0.0234 -0.0195     154084.009              2304
  -0.08806   0.00000    .00000    .00000    .00000    .00000                2305                
   -22.774    20.900  1008.300   982.570    66.084    50.000 0 0            2306                
       -0.1897614479   0.01303       -0.0216793704   0.00690  0             2308                
SEJONG    MATERA    0748+126 2019 02 25 17 00  40.0000000000                2401                
   -1776276.13302335   0.06330 -1945491.6476595758   0.06672 4      I       2402                
   0.00011    .00000    .00000    .00000  -3.425152198023762       0.1      2403                
  0.000   0.000  0.0000  0.0000  0.0000  0.0000          0.000              2404
   0.00000   0.11735    .00000    .00000    .00000    .00000                2405                
     1.584     0.966   999.216   966.100    56.111    72.286 0 0            2406                
        1.7039629975   0.16955      -17.3727672414   0.03830  0             2408                
SEJONG    NYALES20  0748+126 2019 02 25 17 00  40.0000000000                2501                
    4275111.85530011   0.02223 -1293921.1811611040   0.01969 4      I       2502                
   0.00028    .00000    .00000    .00000   3.269762873688146       0.0      2503                
  0.000   0.000  0.0000  0.0000  0.0000  0.0000          0.000              2504
   0.00000  -0.08806    .00000    .00000    .00000    .00000                2505                
     1.584   -22.774   999.216  1008.300    56.111    66.084 0 0            2506                
        0.9487502429   0.14161      -16.2088782337   0.02694  0             2508                
SEJONG    WETTZELL  0748+126 2019 02 25 17 00  40.0000000000                2601                
    -164356.67362210   0.02163 -1862997.5115180991   0.01952 4      I       2602                
   0.00029    .00000    .00000    .00000  -2.466500225698446       0.0      2603                
  0.000   0.000  0.0000  0.0000  0.0000  0.0000          0.000              2604
   0.00000  -0.00221    .00000    .00000    .00000    .00000                2605                
     1.584    10.779   999.216   962.800    56.111    41.400 0 0            2606                
        2.9810256911   0.15126       -5.7050419828   0.02932  0             2608                
SEJONG    YARRA12M  0748+126 2019 02 25 17 00  40.0000000000                2701                
    1183858.06918623   0.02275   -71122.7412921553   0.02003 4      I       2702                
   0.00028    .00000    .00000    .00000   4.799560101817382       0.0      2703                
  0.000   0.000  0.0000  0.0000  0.0000  0.0000          0.000              2704
   0.00000   0.00000    .00000    .00000    .00000    .00000                2705                
     1.584    20.900   999.216   982.570    56.111    50.000 0 0            2706                
       -0.0219932020   0.13486       -8.7670623826   0.02550  0             2708                
WETTZELL  YARRA12M  0748+126 2019 02 25 17 00  40.0000000000                2801                
    1348215.12159614   0.01034  1791878.1529055552   0.00939 0      I       2802                
   0.00062    .00000    .00000    .00000   6.089117030119986       0.0      2803                
  0.273   0.965 -0.0000  0.0025  0.0012 -0.0195      10585.150              2804
  -0.00221   0.00000    .00000    .00000    .00000    .00000                2805                
    10.779    20.900   962.800   982.570    41.400    50.000 0 0            2806                
       -1.3499694044   0.00912       -0.0225438674   0.00499  0             2808                
ISHIOKA   KOKEE     1502+036 2019 02 25 17 02  45.0000000000                2901                
   -3606331.16196943   0.04562  1325293.4453590205   0.05989 0      I       2902                
   0.00017    .00000    .00000    .00000   1.110646698377463       0.1      2903                
  0.322   0.208  0.0004 -0.0008  0.0025  0.0004       7561.366              2904
   0.00000  -0.05172    .00000    .00000    .00000    .00000                2905                
     8.568    10.400  1000.934   887.400    65.730    95.300 0 0            2906                
        0.0915438311   0.02271        0.0094976651   0.01272  0             2908                
HART15M   MATERA    0552+398 2019 02 25 17 03  20.0000000000                3001                
  -11837071.42019142   0.02135  -136309.9062014619   0.06291 0      I       3002                
   0.00057    .00000    .00000    .00000  -3.796948128326454       0.0      3003                
  1.347   0.128  0.0551  0.0001  0.0059  0.0002      -5632.290              3004
   0.00000   0.10635    .00000    .00000    .00000    .00000                3005                
    17.994     0.800   862.782   966.100    76.543    73.240 0 0            3006                
        0.1133087121   0.01021       -0.0351676423   0.01038  0             3008                
HART15M   NYALES20  0552+398 2019 02 25 17 03  20.0000000000                3101                
   -7738416.21619742   0.02902    92663.2053903726   0.07350 0      I       3102                
   0.00037    .00000    .00000    .00000  -2.602784831322161       0.1      3103                
  1.347  -0.038  0.0551  0.0015  0.0059 -0.0018    -148914.863              3104
   0.00000  -0.06228    .00000    .00000    .00000    .00000                3105                
    17.994   -22.661   862.782  1008.400    76.543    65.639 0 0            3106                
       -0.4247651679   0.01214       -0.1180669714   0.00828  0             3108                
HART15M   WETTZELL  0552+398 2019 02 25 17 03  20.0000000000                3201                
  -11393059.71823313   0.00787  -138808.3966399954   0.01438 0      I       3202                
   0.00115    .00000    .00000    .00000  -3.973623033990638       0.0      3203                
  1.347   0.160  0.0551 -0.0000  0.0059  0.0002      -5416.167              3204
   0.00000  -0.00145    .00000    .00000    .00000    .00000                3205                
    17.994    10.700   862.782   962.800    76.543    41.486 0 0            3206                
        0.6991730274   0.00374       -0.0362040728   0.00270  0             3208                
MATERA    NYALES20  0552+398 2019 02 25 17 03  20.0000000000                3301                
    4098657.90866236   0.01154   228972.5647449784   0.03334 0      I       3302                
   0.00104    .00000    .00000    .00000   2.429496401300122       0.0      3303                
  0.128  -0.038  0.0001  0.0015  0.0002 -0.0018    -143282.573              3304
   0.10635  -0.06228    .00000    .00000    .00000    .00000                3305                
     0.800   -22.661   966.100  1008.400    73.240    65.639 0 0            3306                
       -0.5382598668   0.00707       -0.0719985717   0.00894  0             3308                
MATERA    WETTZELL  0552+398 2019 02 25 17 03  20.0000000000                3401                
     444011.67252044   0.00492    -2498.8031735051   0.01450 0      I       3402                
   0.00248    .00000    .00000    .00000   4.526309653963109       0.0      3403                
  0.128   0.160  0.0001 -0.0000  0.0002  0.0002        216.123              3404
   0.10635  -0.00145    .00000    .00000    .00000    .00000                3405                
     0.800    10.700   966.100   962.800    73.240    41.486 0 0            3406                
        0.5768545543   0.00448       -0.0008644478   0.00664  0             3408                
NYALES20  WETTZELL  0552+398 2019 02 25 17 03  20.0000000000                3501                
   -3654645.24294283   0.00371  -231471.5063502059   0.00940 0      I       3502                
   0.00288    .00000    .00000    .00000   2.472783421658270       0.0      3503                
 -0.038   0.160  0.0015 -0.0000 -0.0018  0.0002     143498.696              3504
  -0.06228  -0.00145    .00000    .00000    .00000    .00000                3505                
   -22.661    10.700  1008.400   962.800    65.639    41.486 0 0            3506                
        1.1292250109   0.00259        0.0765566899   0.00367  0             3508                
ISHIOKA   KATH12M   1334-127 2019 02 25 17 04  43.0000000000                3601                
   -6424164.75437395   0.00967  -251736.6463699295   0.01117 0      I       3602                
   0.00074    .00000    .00000    .00000  -4.156933471826863       0.0      3603                
  0.351   1.098  0.0009  0.0000  0.0012  0.0030       9265.609              3604
   0.00000   0.00000    .00000    .00000    .00000    .00000                3605                
     8.700    25.150  1001.000   994.954    65.382    87.586 0 0            3606                
       -0.1433405853   0.00919       -0.0016158684   0.00651  0             3608                
ISHIOKA   KOKEE     1334-127 2019 02 25 17 04  43.0000000000                3701                
    2221777.25179912   0.00877  1301179.7506191290   0.01645 0      I       3702                
   0.00104    .00000    .00000    .00000   1.464559102486110       0.0      3703                
  0.351   0.336  0.0009 -0.0033  0.0012  0.0017       7561.329              3704
   0.00000  -0.05189    .00000    .00000    .00000    .00000                3705                
     8.700    10.400  1001.000   887.400    65.382    95.300 0 0            3706                
        0.0706016949   0.00609       -0.0320926189   0.00638  0             3708                
ISHIOKA   SEJONG    1334-127 2019 02 25 17 04  43.0000000000                3801                
    1305087.24546740   0.00326  -256804.6159458763   0.00318 0      I       3802                
   0.00202    .00000    .00000    .00000   2.791280177484661       0.0      3803                
  0.351   0.083  0.0009 -0.0015  0.0012 -0.0004     -31063.855              3804
   0.00000   0.00000    .00000    .00000    .00000    .00000                3805                
     8.700     1.493  1001.000   999.300    65.382    56.762 0 0            3806                
       -0.3719162818   0.02287       -0.0044599209   0.00479  0             3808                
ISHIOKA   YARRA12M  1334-127 2019 02 25 17 04  43.0000000000                3901                
   -3134041.93079293   0.01233  -537143.4326348527   0.01309 0      I       3902                
   0.00056    .00000    .00000    .00000  -6.024471457819403       0.0      3903                
  0.351   0.584  0.0009  0.0003  0.0012  0.0058       8142.376              3904
   0.00000   0.00000    .00000    .00000    .00000    .00000                3905                
     8.700    20.919  1001.000   982.500    65.382    50.000 0 0            3906                
       -0.1168787989   0.01035       -0.0126077134   0.00655  0             3908                
KATH12M   KOKEE     1334-127 2019 02 25 17 04  43.0000000000                4001                
    8645951.99986388   0.00991  1552916.5873359665   0.01857 0      I       4002                
   0.00092    .00000    .00000    .00000   5.883062397626158       0.0      4003                
  1.098   0.336  0.0000 -0.0033  0.0030  0.0017      -1704.279              4004
   0.00000  -0.05189    .00000    .00000    .00000    .00000                4005                
    25.150    10.400   994.954   887.400    87.586    95.300 0 0            4006                
        0.2097229740   0.00626       -0.0198303352   0.00625  0             4008                
KATH12M   SEJONG    1334-127 2019 02 25 17 04  43.0000000000                4101                
    7729251.96952369   0.00771    -5068.0658476750   0.00890 0      I       4102                
   0.00093    .00000    .00000    .00000  -1.245387735833368       0.0      4103                
  1.098   0.083  0.0000 -0.0015  0.0030 -0.0004     -40329.464              4104
   0.00000   0.00000    .00000    .00000    .00000    .00000                4105                
    25.150     1.493   994.954   999.300    87.586    56.762 0 0            4106                
       -0.2775109853   0.08820       -0.0132410949   0.02188  0             4108                
KATH12M   YARRA12M  1334-127 2019 02 25 17 04  43.0000000000                4201                
    3290121.00065897   0.00765  -285406.9910696201   0.00884 0      I       4202                
   0.00094    .00000    .00000    .00000   3.659477350753218       0.0      4203                
  1.098   0.584  0.0000  0.0003  0.0030  0.0058      -1123.233              4204
   0.00000   0.00000    .00000    .00000    .00000    .00000                4205                
    25.150    20.919   994.954   982.500    87.586    50.000 0 0            4206                
        0.0261406619   0.00854        0.0035971584   0.00621  0             4208                
KOKEE     SEJONG    1334-127 2019 02 25 17 04  43.0000000000                4301                
    -916686.53725474   0.00542 -1557982.3294012817   0.01016 0      I       4302                
   0.00169    .00000    .00000    .00000  -3.196815695637567       0.0      4303                
  0.336   0.083 -0.0033 -0.0015  0.0017 -0.0004     -38625.184              4304
  -0.05189   0.00000    .00000    .00000    .00000    .00000                4305                
    10.400     1.493   887.400   999.300    95.300    56.762 0 0            4306                
       -0.4806461236   0.03463        0.0335251105   0.01394  0             4308                
KOKEE     YARRA12M  1334-127 2019 02 25 17 04  43.0000000000                4401                
   -5355815.10845111   0.01077 -1838320.7927990600   0.02020 0      I       4402                
   0.00085    .00000    .00000    .00000  -4.829832786560530       0.0      4403                
  0.336   0.584 -0.0033  0.0003  0.0017  0.0058        581.047              4404
  -0.05189   0.00000    .00000    .00000    .00000    .00000                4405                
    10.400    20.919   887.400   982.500    95.300    50.000 0 0            4406                
       -0.1955517153   0.00623        0.0253417459   0.00586  0             4408                
SEJONG    YARRA12M  1334-127 2019 02 25 17 04  43.0000000000                4501                
   -4439128.80872854   0.00935  -280338.8757511440   0.00993 0      I       4502                
   0.00074    .00000    .00000    .00000  -1.860488332270991       0.0      4503                
  0.083   0.584 -0.0015  0.0003 -0.0004  0.0058      39206.231              4504
   0.00000   0.00000    .00000    .00000    .00000    .00000                4505                
     1.493    20.919   999.300   982.500    56.762    50.000 0 0            4506                
        0.2331374162   0.08259       -0.0423559691   0.01883  0             4508                
MATERA    NYALES20  0955+476 2019 02 25 17 05  11.0000000000                4601                
   -3879256.07686152   0.02272   588315.9455333041   0.06562 0      I       4602                
   0.00050    .00000    .00000    .00000   0.148599928031596       0.0      4603                
  0.208  -0.031  0.0063 -0.0003  0.0013 -0.0039    -143282.440              4604
   0.10918  -0.04478    .00000    .00000    .00000    .00000                4605                
     0.791   -22.367   966.109  1008.300    73.661    65.077 0 0            4606                
       -0.5501435037   0.01586        0.0171868896   0.02136  0             4608                
MATERA    WETTZELL  0955+476 2019 02 25 17 05  11.0000000000                4701                
    -792237.15743303   0.01217   103408.8823503048   0.03513 0      I       4702                
   0.00094    .00000    .00000    .00000  -3.484777179037328       0.0      4703                
  0.208   0.252  0.0063  0.0000  0.0013  0.0009        216.143              4704
   0.10918  -0.00050    .00000    .00000    .00000    .00000                4705                
     0.791    10.700   966.109   962.800    73.661    41.900 0 0            4706                
        0.5529485251   0.01160        0.0144923572   0.01700  0             4708                
NYALES20  WETTZELL  0955+476 2019 02 25 17 05  11.0000000000                4801                
    3087017.05303932   0.00899  -484906.8105531854   0.02596 0      I       4802                
   0.00127    .00000    .00000    .00000   3.649334968057760       0.0      4803                
