DATA IN NGS FORMAT FROM DATABASE 19JAN28XA_V002                                                 
   0.00014    .00000    .00000    .00000  -3.435421347187108       0.1      2403                
  0.759   0.619  0.0010  0.0075  0.0155  0.0214      22304.504              2404
  -0.00534   0.00000    .00000    .00000    .00000    .00000                2405                
     0.400    -0.786   988.500   925.900    88.855    98.185 0 0            2406                
       -0.4346285241   0.01809        0.0056704320   0.00389  0             2408                
ONSALA60  WETTZELL  0748+126 2019 01 28 17 00  36.0000000000                2501                
     -91804.74983387   0.03107  -171444.8038692717   0.02361 0      I       2502                
   0.00019    .00000    .00000    .00000  -3.360240842246389       0.1      2503                
  0.759   0.495  0.0010  0.0015  0.0155  0.0400      19734.643              2504
  -0.00534  -0.00379    .00000    .00000    .00000    .00000                2505                
     0.400    -0.786   988.500   925.900    88.855    97.929 0 0            2506                
        0.0403712675   0.01329        0.0027219727   0.00300  0             2508                
ONSALA60  YARRA12M  0748+126 2019 01 28 17 00  36.0000000000                2601                
   -9640874.20251040   0.10519  1269780.4632267747   0.08036 2      I       2602                
   0.00007    .00000    .00000    .00000  -1.364231166320100       0.2      2603                
  0.000   0.000  0.0000  0.0000  0.0000  0.0000          0.000              2604
  -0.00534   0.00000    .00000    .00000    .00000    .00000                2605                
     0.400    25.058   988.500   977.708    88.855    20.258 0 0            2606                
        0.5658537681   0.04911       -4.5030914453   0.01434  0             2608                
WETTZ13N  WETTZELL  0748+126 2019 01 28 17 00  36.0000000000                2701                
      -2527.02567957   0.00265       21.5772281516   0.00174 0      I       2702                
   0.00204    .00000    .00000    .00000  -6.264343975099494       0.0      2703                
  0.619   0.495  0.0075  0.0015  0.0214  0.0400      -2569.860              2704
   0.00000  -0.00379    .00000    .00000    .00000    .00000                2705                
    -0.786    -0.786   925.900   925.900    98.185    97.929 0 0            2706                
        0.5087610024   0.00259        0.0004517640   0.00094  0             2708                
WETTZ13N  YARRA12M  0748+126 2019 01 28 17 00  36.0000000000                2801                
   -9551573.05020195   0.01254  1441188.6520878556   0.00748 0      I       2802                
   0.00041    .00000    .00000    .00000  -3.840225827620787       0.0      2803                
  0.619   0.570  0.0075  0.0039  0.0214  0.0006       6805.862              2804
   0.00000   0.00000    .00000    .00000    .00000    .00000                2805                
    -0.786    25.058   925.900   977.708    98.185    20.258 0 0            2806                
       -0.7685524441   0.01063       -0.0034179955   0.00379  0             2808                
WETTZELL  YARRA12M  0748+126 2019 01 28 17 00  36.0000000000                2901                
   -9549046.02428690   0.01123  1441167.0738588225   0.00740 0      I       2902                
   0.00048    .00000    .00000    .00000  -3.853691835356663       0.0      2903                
  0.495   0.570  0.0015  0.0039  0.0400  0.0006       9375.722              2904
  -0.00379   0.00000    .00000    .00000    .00000    .00000                2905                
    -0.786    25.058   925.900   977.708    97.929    20.258 0 0            2906                
       -1.2541244712   0.00967       -0.0042146178   0.00382  0             2908                
ISHIOKA   KOKEE     1511-100 2019 01 28 17 02  12.0000000000                3001                
  -13047739.11991225   0.06389   993251.6593885188   0.18450 0      I       3002                
   0.00018    .00000    .00000    .00000  -4.215321680830196       0.1      3003                
  0.500   0.129  0.0103 -0.0044 -0.0186  0.0002       8680.589              3004
   0.00000  -0.02751    .00000    .00000    .00000    .00000                3005                
     3.509     9.100   995.823   886.600    75.440    85.086 0 0            3006                
        0.1082175821   0.03082        0.0107428803   0.03618  0             3008                
ISHIOKA   KOKEE     1255-316 2019 01 28 17 03  43.0000000000                3101                
   -4495848.49484968   0.04520  1140734.6037087115   0.13052 0      I       3102                
   0.00025    .00000    .00000    .00000  -5.499588505943468       0.1      3103                
  0.398   0.221  0.0155 -0.0190 -0.0066 -0.0026       8680.566              3104
   0.00000  -0.02639    .00000    .00000    .00000    .00000                3105                
     3.200     9.100   995.900   886.600    74.828    85.493 0 0            3106                
        0.1533061591   0.02426       -0.1061861858   0.03286  0             3108                
FORTLEZA  HART15M   0202+319 2019 01 28 17 04  34.0000000000                3201                
    1382435.59520240   0.01730  1346592.5048202844   0.03286 0      I       3202                
   0.00054    .00000    .00000    .00000   5.587195320530496       0.0      3203                
  1.548   0.974  0.0096  0.0099 -0.0084 -0.0063       4043.585              3204
  -0.02050   0.00000    .00000    .00000    .00000    .00000                3205                
    30.287    20.822  1007.500   864.422    67.783    68.510 0 0            3206                
       -0.1438042478   0.01363       -0.0310841635   0.01654  0             3208                
FORTLEZA  NYALES20  0202+319 2019 01 28 17 04  34.0000000000                3301                
   -3057718.28196122   0.00771   961928.2901151003   0.00385 0      I       3302                
   0.00062    .00000    .00000    .00000  -0.968521314430014       0.0      3303                
  1.548   0.005  0.0096 -0.0105 -0.0084 -0.0005    -148526.665              3304
  -0.02050   0.03657    .00000    .00000    .00000    .00000                3305                
    30.287    -9.796  1007.500  1009.100    67.783    67.000 0 0            3306                
       -0.5194095902   0.00997       -0.0506766254   0.00348  0             3308                
FORTLEZA  ONSALA60  0202+319 2019 01 28 17 04  34.0000000000                3401                
   -7580581.30921804   0.05454   995488.8848861010   0.02803 0      I       3402                
   0.00009    .00000    .00000    .00000  -4.706150259215070       0.1      3403                
  1.548   0.205  0.0096 -0.0016 -0.0084 -0.0001     -22329.664              3404
  -0.02050   0.01550    .00000    .00000    .00000    .00000                3405                
    30.287     0.400  1007.500   988.500    67.783    88.787 0 0            3406                
        0.5638898077   0.02727       -0.0462835769   0.00651  0             3408                
FORTLEZA  WETTZ13N  0202+319 2019 01 28 17 04  34.0000000000                3501                
   -8634204.10166771   0.00635  1020774.6029591861   0.00317 0      I       3502                
   0.00075    .00000    .00000    .00000  -1.782235471538702       0.0      3503                
  1.548   0.172  0.0096 -0.0035 -0.0084 -0.0001        -25.051              3504
  -0.02050   0.00000    .00000    .00000    .00000    .00000                3505                
    30.287    -0.679  1007.500   925.900    67.783    98.689 0 0            3506                
        0.0705448090   0.00840       -0.0467563982   0.00294  0             3508                
FORTLEZA  WETTZELL  0202+319 2019 01 28 17 04  34.0000000000                3601                
   -8636652.27393082   0.00527  1020769.0687536650   0.00263 0      I       3602                
   0.00090    .00000    .00000    .00000  -4.129886407796018       0.0      3603                
  1.548   0.139  0.0096 -0.0007 -0.0084 -0.0002      -2594.927              3604
  -0.02050  -0.00483    .00000    .00000    .00000    .00000                3605                
    30.287    -0.679  1007.500   925.900    67.783    98.689 0 0            3606                
        0.5720399018   0.00668       -0.0448100014   0.00233  0             3608                
HART15M   NYALES20  0202+319 2019 01 28 17 04  34.0000000000                3701                
   -4440153.33796809   0.01025  -384663.6674953371   0.01947 0      I       3702                
   0.00090    .00000    .00000    .00000  -4.098622760811251       0.0      3703                
  0.974   0.005  0.0099 -0.0105 -0.0063 -0.0005    -152570.250              3704
   0.00000   0.03657    .00000    .00000    .00000    .00000                3705                
    20.822    -9.796   864.422  1009.100    68.510    67.000 0 0            3706                
       -0.3977865804   0.01209       -0.0142233089   0.01456  0             3708                
HART15M   ONSALA60  0202+319 2019 01 28 17 04  34.0000000000                3801                
   -8963016.48793443   0.07116  -351103.1817537263   0.13520 0      I       3802                
   0.00013    .00000    .00000    .00000  -3.372252497710973       0.1      3803                
  0.974   0.205  0.0099 -0.0016 -0.0063 -0.0001     -26373.250              3804
   0.00000   0.01550    .00000    .00000    .00000    .00000                3805                
    20.822     0.400   864.422   988.500    68.510    88.787 0 0            3806                
        0.6691329025   0.03363       -0.0005964058   0.02491  0             3808                
HART15M   WETTZ13N  0202+319 2019 01 28 17 04  34.0000000000                3901                
  -10016639.23616338   0.00929  -325817.4143760911   0.01765 0      I       3902                
   0.00099    .00000    .00000    .00000  -2.924320520268441       0.0      3903                
  0.974   0.172  0.0099 -0.0035 -0.0063 -0.0001      -4068.637              3904
   0.00000   0.00000    .00000    .00000    .00000    .00000                3905                
    20.822    -0.679   864.422   925.900    68.510    98.689 0 0            3906                
        0.1896939889   0.01076        0.0045497360   0.01292  0             3908                
HART15M   WETTZELL  0202+319 2019 01 28 17 04  34.0000000000                4001                
  -10019087.43259386   0.00756  -325822.9967007508   0.01436 0      I       4002                
   0.00122    .00000    .00000    .00000  -5.210227531390871       0.0      4003                
  0.974   0.139  0.0099 -0.0007 -0.0063 -0.0002      -6638.512              4004
   0.00000  -0.00483    .00000    .00000    .00000    .00000                4005                
    20.822    -0.679   864.422   925.900    68.510    98.689 0 0            4006                
        0.6950942868   0.00773        0.0108921642   0.00912  0             4008                
NYALES20  ONSALA60  0202+319 2019 01 28 17 04  34.0000000000                4101                
   -4522862.96318865   0.02243    33560.6864216003   0.01152 0      I       4102                
   0.00021    .00000    .00000    .00000  -4.628742818970827       0.0      4103                
  0.005   0.205 -0.0105 -0.0016 -0.0005 -0.0001     126197.000              4104
   0.03657   0.01550    .00000    .00000    .00000    .00000                4105                
    -9.796     0.400  1009.100   988.500    67.000    88.787 0 0            4106                
        1.0757812082   0.01185        0.0065257419   0.00281  0             4108                
NYALES20  WETTZ13N  0202+319 2019 01 28 17 04  34.0000000000                4201                
   -5576485.65955505   0.00280    58846.3888294940   0.00134 0      I       4202                
   0.00165    .00000    .00000    .00000  -4.412991350631911       0.0      4203                
  0.005   0.172 -0.0105 -0.0035 -0.0005 -0.0001     148501.614              4204
   0.03657   0.00000    .00000    .00000    .00000    .00000                4205                
    -9.796    -0.679  1009.100   925.900    67.000    98.689 0 0            4206                
        0.5944470571   0.00381        0.0024340074   0.00117  0             4208                
NYALES20  WETTZELL  0202+319 2019 01 28 17 04  34.0000000000                4301                
   -5578933.82860929   0.00227    58840.8572170250   0.00109 0      I       4302                
   0.00204    .00000    .00000    .00000  -0.494217550740541       0.0      4303                
  0.005   0.139 -0.0105 -0.0007 -0.0005 -0.0002     145931.738              4304
   0.03657  -0.00483    .00000    .00000    .00000    .00000                4305                
    -9.796    -0.679  1009.100   925.900    67.000    98.689 0 0            4306                
        1.0938686490   0.00305        0.0032186988   0.00094  0             4308                
ONSALA60  WETTZ13N  0202+319 2019 01 28 17 04  34.0000000000                4401                
   -1053622.58018506   0.01876    25285.7523080201   0.00964 0      I       4402                
   0.00026    .00000    .00000    .00000   0.110319958450798       0.0      4403                
  0.205   0.172 -0.0016 -0.0035 -0.0001 -0.0001      22304.613              4404
   0.01550   0.00000    .00000    .00000    .00000    .00000                4405                
     0.400    -0.679   988.500   925.900    88.787    98.689 0 0            4406                
       -0.4790236318   0.01060        0.0022960699   0.00268  0             4408                
ONSALA60  WETTZELL  0202+319 2019 01 28 17 04  34.0000000000                4501                
   -1056070.73986431   0.01511    25280.2058448031   0.00776 0      I       4502                
   0.00032    .00000    .00000    .00000  -2.236378073801353       0.0      4503                
  0.205   0.139 -0.0016 -0.0007 -0.0001 -0.0002      19734.738              4504
   0.01550  -0.00483    .00000    .00000    .00000    .00000                4505                
     0.400    -0.679   988.500   925.900    88.787    98.689 0 0            4506                
        0.0274913871   0.00853        0.0026683055   0.00215  0             4508                
WETTZ13N  WETTZELL  0202+319 2019 01 28 17 04  34.0000000000                4601                
      -2448.17051095   0.00179       -5.5316014874   0.00086 0      I       4602                
   0.00258    .00000    .00000    .00000  -2.352445558325840       0.0      4603                
  0.172   0.139 -0.0035 -0.0007 -0.0001 -0.0002      -2569.875              4604
   0.00000  -0.00483    .00000    .00000    .00000    .00000                4605                
    -0.679    -0.679   925.900   925.900    98.689    98.689 0 0            4606                
        0.5079217534   0.00308        0.0002204493   0.00087  0             4608                
ISHIOKA   KOKEE     1034-293 2019 01 28 17 05   7.0000000000                4701                
    5338180.45990433   0.09542  1042329.8681686755   0.27556 4      I       4702                
   0.00012    .00000    .00000    .00000   4.327175511877960       0.2      4703                
  0.000   0.000  0.0000  0.0000  0.0000  0.0000          0.000              4704
   0.00000  -0.02621    .00000    .00000    .00000    .00000                4705                
     3.279     9.100   995.926   886.600    74.810    85.800 0 0            4706                
        0.4565265824   0.05923      -18.8037178166   0.09012  0             4708                
ISHIOKA   KOKEE     1124-186 2019 01 28 17 06  26.0000000000                4801                
    3313582.10836266   0.05720  1234736.5797912478   0.16518 0      I       4802                
   0.00020    .00000    .00000    .00000   6.155551714040885       0.1      4803                
