DATA IN NGS FORMAT FROM DATABASE 19JAN02XA_V002                                                 
  0.108   0.256 -0.0018  0.0393  0.0011 -0.0139     -17209.712              1704
  -0.16611   0.00000    .00000    .00000    .00000    .00000                1705                
    11.914    -2.877   888.714   954.323    91.886    89.832 0 0            1706                
        0.5465304760   0.00675             0.00109   0.00218  0             1708                
KOKEE     YARRA12M  0955+476 2019 01 02 17 00  54.0000000000                1801                
   12355988.11705242   0.01858 -1278417.4314076854   0.00993 0      I       1802                
   0.00026    .00000    .00000    .00000   3.309724937425330       0.0      1803                
  0.108   2.101 -0.0018  0.0465  0.0011 -0.0828      -5461.728              1804
  -0.16611   0.00000    .00000    .00000    .00000    .00000                1805                
    11.914    14.484   888.714   980.300    91.886    50.000 0 0            1806                
       -0.1410596884   0.01012             0.00999   0.00258  0             1808                
NYALES20  ONSALA60  0955+476 2019 01 02 17 00  54.0000000000                1901                
    6186428.31527967   0.00795  -231645.1199861820   0.00876 0      I       1902                
   0.00088    .00000    .00000    .00000   2.655100500407896       0.0      1903                
  0.181   0.250  0.0034  0.0259 -0.0039 -0.0103     266623.807              1904
  -0.00862  -0.01774    .00000    .00000    .00000    .00000                1905                
   -10.527     2.579  1006.000  1030.500    76.403    48.684 0 0            1906                
        1.0645249109   0.00896            -0.00745   0.00622  0             1908                
NYALES20  WETTZ13N  0955+476 2019 01 02 17 00  54.0000000000                2001                
    8739154.96764418   0.00676  -317298.3113469335   0.00745 0      I       2002                
   0.00104    .00000    .00000    .00000   1.267267867875296       0.0      2003                
  0.181   0.256  0.0034  0.0393 -0.0039 -0.0139     309182.226              2004
  -0.00862   0.00000    .00000    .00000    .00000    .00000                2005                
   -10.527    -2.877  1006.000   954.323    76.403    89.832 0 0            2006                
        0.6023901920   0.00650            -0.00889   0.00440  0             2008                
NYALES20  YARRA12M  0955+476 2019 01 02 17 00  54.0000000000                2101                
   10815706.71119304   0.02006  -429028.8818600715   0.02211 0      I       2102                
   0.00035    .00000    .00000    .00000  -0.259865150544182       0.0      2103                
  0.181   2.101  0.0034  0.0465 -0.0039 -0.0828     320930.211              2104
  -0.00862   0.00000    .00000    .00000    .00000    .00000                2105                
   -10.527    14.484  1006.000   980.300    76.403    50.000 0 0            2106                
       -0.0959395983   0.01541             0.00006   0.00986  0             2108                
ONSALA60  WETTZ13N  0955+476 2019 01 02 17 00  54.0000000000                2201                
    2552727.16046212   0.00561   -85653.1883119955   0.00346 0      I       2202                
   0.00094    .00000    .00000    .00000   0.258016650431558       0.0      2203                
  0.250   0.256  0.0259  0.0393 -0.0103 -0.0139      42558.418              2204
  -0.01774   0.00000    .00000    .00000    .00000    .00000                2205                
     2.579    -2.877  1030.500   954.323    48.684    89.832 0 0            2206                
       -0.4565986746   0.00693            -0.00461   0.00272  0             2208                
ONSALA60  YARRA12M  0955+476 2019 01 02 17 00  54.0000000000                2301                
    4629279.59998532   0.01538  -197384.3618842837   0.00822 0      I       2302                
   0.00032    .00000    .00000    .00000   2.345282453941854       0.0      2303                
  0.250   2.101  0.0259  0.0465 -0.0103 -0.0828      54306.403              2304
  -0.01774   0.00000    .00000    .00000    .00000    .00000                2305                
     2.579    14.484  1030.500   980.300    48.684    50.000 0 0            2306                
       -1.1213893637   0.01618             0.00805   0.00540  0             2308                
SEJONG    NYALES20  0955+476 2019 01 02 17 00  54.0000000000                2401                
    6476828.78565113   0.00771   233594.4948499064   0.00850 0      I       2402                
   0.00091    .00000    .00000    .00000   4.551956427892790       0.0      2403                
  0.159   0.181 -0.0013  0.0034  0.0002 -0.0039    -248223.136              2404
   0.00000  -0.00862    .00000    .00000    .00000    .00000                2405                
    -5.300   -10.527  1004.800  1006.000    78.545    76.403 0 0            2406                
       -0.9298003101   0.05113            -0.00463   0.01210  0             2408                
SEJONG    ONSALA60  0955+476 2019 01 02 17 00  54.0000000000                2501                
   12663255.57952441   0.00646     1949.1874056915   0.00331 0      I       2502                
   0.00074    .00000    .00000    .00000   3.651303310419438       0.0      2503                
  0.159   0.250 -0.0013  0.0259  0.0002 -0.0103      18400.671              2504
   0.00000  -0.01774    .00000    .00000    .00000    .00000                2505                
    -5.300     2.579  1004.800  1030.500    78.545    48.684 0 0            2506                
        0.1335317783   0.05923             0.01586   0.00651  0             2508                
SEJONG    WETTZ13N  0955+476 2019 01 02 17 00  54.0000000000                2601                
   15215981.65749962   0.00605   -83704.0809941358   0.00373 0      I       2602                
   0.00087    .00000    .00000    .00000   4.499984839219894       0.0      2603                
  0.159   0.256 -0.0013  0.0393  0.0002 -0.0139      60959.090              2604
   0.00000   0.00000    .00000    .00000    .00000    .00000                2605                
    -5.300    -2.877  1004.800   954.323    78.545    89.832 0 0            2606                
       -0.3819242562   0.03840             0.00058   0.00509  0             2608                
SEJONG    YARRA12M  0955+476 2019 01 02 17 00  54.0000000000                2701                
   17292532.68138632   0.01015  -195434.0905000537   0.00543 0      I       2702                
   0.00048    .00000    .00000    .00000   2.707137869159717       0.0      2703                
  0.159   2.101 -0.0013  0.0465  0.0002 -0.0828      72707.074              2704
   0.00000   0.00000    .00000    .00000    .00000    .00000                2705                
    -5.300    14.484  1004.800   980.300    78.545    50.000 0 0            2706                
       -1.0165890831   0.06580            -0.00113   0.00756  0             2708                
WETTZ13N  YARRA12M  0955+476 2019 01 02 17 00  54.0000000000                2801                
    2076552.72807692   0.01360  -111731.3876420871   0.00839 0      I       2802                
   0.00039    .00000    .00000    .00000   4.029266855490644       0.0      2803                
  0.256   2.101  0.0393  0.0465 -0.0139 -0.0828      11747.985              2804
   0.00000   0.00000    .00000    .00000    .00000    .00000                2805                
    -2.877    14.484   954.323   980.300    89.832    50.000 0 0            2806                
       -0.7014143112   0.01297             0.00728   0.00491  0             2808                
HART15M   ISHIOKA   0202+319 2019 01 02 17 03  32.0000000000                2901                
    8630092.46772329   0.02684  1137378.1769153695   0.07752 0      I       2902                
   0.00042    .00000    .00000    .00000  -1.064231595581935       0.0      2903                
  1.386   0.543  0.0048  0.0159 -0.0000  0.1482     -23523.879              2904
   0.00000   0.00000    .00000    .00000    .00000    .00000                2905                
    22.000     1.506   863.100  1007.600    79.082    64.318 0 0            2906                
       -0.4414374074   0.02581             0.05612   0.04577  0             2908                
HART15M   NYALES20  0202+319 2019 01 02 17 03  32.0000000000                3001                
   -3331041.65105698   0.01441    28516.7591632752   0.04246 0      I       3002                
   0.00080    .00000    .00000    .00000  -0.378165845445512       0.0      3003                
  1.386   0.173  0.0048 -0.0029 -0.0000 -0.0024    -331720.616              3004
   0.00000   0.00215    .00000    .00000    .00000    .00000                3005                
    22.000   -10.319   863.100  1005.898    79.082    76.277 0 0            3006                
       -0.3821516318   0.01701            -0.01458   0.03174  0             3008                
ISHIOKA   NYALES20  0202+319 2019 01 02 17 03  32.0000000000                3101                
  -11961124.48878475   0.01387 -1108860.6338558765   0.02902 0      I       3102                
   0.00070    .00000    .00000    .00000  -1.386452182981557       0.0      3103                
  0.543   0.173  0.0159 -0.0029  0.1482 -0.0024    -308196.738              3104
   0.00000   0.00215    .00000    .00000    .00000    .00000                3105                
     1.506   -10.319  1007.600  1005.898    64.318    76.277 0 0            3106                
        0.0954934296   0.01340            -0.02024   0.01724  0             3108                
HART15M   ISHIOKA   0727-115 2019 01 02 17 05  25.0000000000                3201                
   -9670569.44338951   0.01516  1899830.6845155519   0.04379 0      I       3202                
   0.00075    .00000    .00000    .00000   1.097337084776601       0.0      3203                
  5.132   0.113 -0.0125 -0.0006 -0.0041  0.0032     -23523.941              3204
   0.00000   0.00000    .00000    .00000    .00000    .00000                3205                
    22.000     2.000   863.118  1007.600    79.074    64.231 0 0            3206                
       -0.4598656370   0.01155            -0.04413   0.01929  0             3208                
HART15M   KATH12M   0727-115 2019 01 02 17 05  25.0000000000                3301                
  -17348896.11738361   0.03554  1814109.0043102521   0.10262 0      I       3302                
   0.00032    .00000    .00000    .00000   0.338679122673393       0.1      3303                
  5.132   0.997 -0.0125  0.0000 -0.0041  0.0002     -16822.676              3304
   0.00000   0.00000    .00000    .00000    .00000    .00000                3305                
    22.000    27.200   863.118   990.260    79.074    80.928 0 0            3306                
       -0.5615818928   0.02284            -0.03135   0.03543  0             3308                
HART15M   SEJONG    0727-115 2019 01 02 17 05  25.0000000000                3401                
  -10870443.21154756   0.01213  1638303.6562760666   0.03502 0      I       3402                
   0.00094    .00000    .00000    .00000  -0.714894968279236       0.0      3403                
  5.132   0.201 -0.0125  0.0088 -0.0041 -0.0004     -83497.916              3404
   0.00000   0.00000    .00000    .00000    .00000    .00000                3405                
    22.000    -5.300   863.118  1004.800    79.074    79.671 0 0            3406                
        0.6325403533   0.05649            -0.08383   0.03502  0             3408                
HART15M   YARRA12M  0727-115 2019 01 02 17 05  25.0000000000                3501                
  -17366842.71313697   0.01326  1387293.1460236877   0.03829 0      I       3502                
   0.00086    .00000    .00000    .00000  -3.654927606346927       0.0      3503                
  5.132   0.262 -0.0125  0.0002 -0.0041  0.0000     -10790.561              3504
   0.00000   0.00000    .00000    .00000    .00000    .00000                3505                
    22.000    14.400   863.118   980.300    79.074    50.000 0 0            3506                
       -0.5305635924   0.01141            -0.02642   0.01976  0             3508                
ISHIOKA   SEJONG    0727-115 2019 01 02 17 05  25.0000000000                3601                
   -1199876.28926374   0.00442  -261526.5137242078   0.01276 0      I       3602                
   0.00257    .00000    .00000    .00000  -0.284836729913744       0.0      3603                
  0.113   0.201 -0.0006  0.0088  0.0032 -0.0004     -59973.975              3604
   0.00000   0.00000    .00000    .00000    .00000    .00000                3605                
     2.000    -5.300  1007.600  1004.800    64.231    79.671 0 0            3606                
        0.9697043284   0.02895             0.05508   0.01795  0             3608                
ISHIOKA   YARRA12M  0727-115 2019 01 02 17 05  25.0000000000                3701                
   -7696278.21352022   0.00909  -512536.4446796061   0.02625 0      I       3702                
   0.00125    .00000    .00000    .00000  -2.672980697650579       0.0      3703                
  0.113   0.262 -0.0006  0.0002  0.0032  0.0000      12733.380              3704
   0.00000   0.00000    .00000    .00000    .00000    .00000                3705                
     2.000    14.400  1007.600   980.300    64.231    50.000 0 0            3706                
       -0.0553821142   0.00951            -0.02585   0.01711  0             3708                
KATH12M   SEJONG    0727-115 2019 01 02 17 05  25.0000000000                3801                
    6478449.90699273   0.01499  -175805.2112544323   0.04328 0      I       3802                
   0.00076    .00000    .00000    .00000   5.200103258190825       0.0      3803                
  0.997   0.201  0.0000  0.0088  0.0002 -0.0004     -66675.240              3804
   0.00000   0.00000    .00000    .00000    .00000    .00000                3805                
    27.200    -5.300   990.260  1004.800    80.928    79.671 0 0            3806                
        0.9816591561   0.09608            -0.00021   0.05958  0             3808                
KATH12M   YARRA12M  0727-115 2019 01 02 17 05  25.0000000000                3901                
     -17953.99372983   0.02177  -426815.0970331492   0.06288 0      I       3902                
   0.00052    .00000    .00000    .00000  -2.192216338183168       0.0      3903                
  0.997   0.262  0.0000  0.0002  0.0002  0.0000       6032.115              3904
   0.00000   0.00000    .00000    .00000    .00000    .00000                3905                
    27.200    14.400   990.260   980.300    80.928    50.000 0 0            3906                
        0.0133298324   0.01858            -0.02756   0.03212  0             3908                
SEJONG    YARRA12M  0727-115 2019 01 02 17 05  25.0000000000                4001                
   -6496402.23105554   0.00728  -251009.9626507903   0.02102 0      I       4002                
   0.00157    .00000    .00000    .00000  -4.974534046493331       0.0      4003                
  0.201   0.262  0.0088  0.0002 -0.0004  0.0000      72707.355              4004
   0.00000   0.00000    .00000    .00000    .00000    .00000                4005                
    -5.300    14.400  1004.800   980.300    79.671    50.000 0 0            4006                
       -1.0542386307   0.05090            -0.05453   0.03157  0             4008                
HART15M   KATH12M   1057-797 2019 01 02 17 07  16.0000000000                4101                
   -1449691.02830910   0.02900    16199.6486538062   0.07098 0      I       4102                
   0.00036    .00000    .00000    .00000  -0.281118990321507       0.1      4103                
  2.320   2.482 -0.0148 -0.0013 -0.0001 -0.0004     -16822.922              4104
   0.00000   0.00000    .00000    .00000    .00000    .00000                4105                
    22.000    27.202   863.181   990.265    79.494    80.828 0 0            4106                
       -0.4891991305   0.02912            -0.06945   0.04411  0             4108                
HART15M   YARRA12M  1057-797 2019 01 02 17 07  16.0000000000                4201                
   -5485720.21869930   0.01134   -20195.5366071429   0.02822 0      I       4202                
   0.00094    .00000    .00000    .00000  -4.703563797164385       0.0      4203                
  2.320   0.431 -0.0148 -0.0019 -0.0001 -0.0011     -10790.542              4204
   0.00000   0.00000    .00000    .00000    .00000    .00000                4205                
    22.000    14.416   863.181   980.284    79.494    50.000 0 0            4206                
       -0.5575192831   0.01650            -0.03564   0.02654  0             4208                
ISHIOKA   KOKEE     1842+681 2019 01 02 17 07  17.0000000000                4301                
   -1878961.11546884   0.02827  -238728.3622725395   0.01822 0      I       4302                
   0.00019    .00000    .00000    .00000  -5.760389208333837       0.0      4303                
  0.215   0.174  0.0022 -0.0092 -0.0058 -0.0023      18194.793              4304
   0.00000  -0.16906    .00000    .00000    .00000    .00000                4305                
     2.028    12.000  1007.586   888.818    63.325    91.782 0 0            4306                
        0.1432216525   0.01457            -0.02979   0.00420  0             4308                
ISHIOKA   NYALES20  1842+681 2019 01 02 17 07  17.0000000000                4401                
  -12865372.73410329   0.02590   400971.3076490025   0.01312 0      I       4402                
   0.00018    .00000    .00000    .00000  -5.681192656469279       0.0      4403                
  0.215   0.134  0.0022  0.0004 -0.0058  0.0016    -308196.327              4404
   0.00000   0.03200    .00000    .00000    .00000    .00000                4405                
     2.028    -9.993  1007.586  1005.748    63.325    75.041 0 0            4406                
        0.1042223827   0.01539             0.00345   0.00399  0             4408                
ISHIOKA   ONSALA60  1842+681 2019 01 02 17 07  17.0000000000                4501                
   -9972098.55259113   0.02512   601361.9502464585   0.01230 0      I       4502                
   0.00019    .00000    .00000    .00000  -1.986814712788627       0.0      4503                
  0.215   0.096  0.0022  0.0029 -0.0058  0.0017     -41573.541              4504
   0.00000   0.00206    .00000    .00000    .00000    .00000                4505                
     2.028     2.480  1007.586  1030.500    63.325    48.959 0 0            4506                
        1.1602675841   0.02105             0.00212   0.00614  0             4508                
ISHIOKA   WETTZ13N  1842+681 2019 01 02 17 07  17.0000000000                4601                
   -8164018.50198473   0.02929   667822.6504471956   0.03524 0      I       4602                
   0.00025    .00000    .00000    .00000  -0.388982673687032       0.1      4603                
  0.215   0.058  0.0022  0.0025 -0.0058  0.0012        985.227              4604
   0.00000   0.00000    .00000    .00000    .00000    .00000                4605                
     2.028    -2.800  1007.586   954.400    63.325    89.635 0 0            4606                
        0.6980419685   0.02351            -0.00120   0.01666  0             4608                
KOKEE     NYALES20  1842+681 2019 01 02 17 07  17.0000000000                4701                
  -10986410.38468564   0.02783   639699.8125540112   0.01802 0      I       4702                
   0.00019    .00000    .00000    .00000  -1.091472071686947       0.0      4703                
  0.174   0.134 -0.0092  0.0004 -0.0023  0.0016    -326391.120              4704
  -0.16906   0.03200    .00000    .00000    .00000    .00000                4705                
    12.000    -9.993   888.818  1005.748    91.782    75.041 0 0            4706                
       -0.0604905095   0.01377             0.03315   0.00377  0             4708                
KOKEE     ONSALA60  1842+681 2019 01 02 17 07  17.0000000000                4801                
   -8093135.80736416   0.03102   840090.5011314634   0.01999 0      I       4802                
