DATA IN NGS FORMAT FROM DATABASE 19MAY02XE_V005                                                 
1657-261  17  0    53.154061 -26 10    51.725350                                                
2215+150  22 18    10.913903  15 20    35.717440                                                
1413+135  14 15    58.817512  13 20    23.712860                                                
1053+704  10 56    53.617499  70 11    45.915610                                                
2229+695  22 30    36.469705  69 46    28.076900                                                
1617+229  16 19    14.824611  22 47    47.851080                                                
0119+115   1 21    41.595043  11 49    50.413100                                                
0347-211   3 49    57.826674 -21  2    47.741440                                                
CTA26      3 39    30.937788 - 1 46    35.804130                                                
0446+112   4 49     7.671101  11 21    28.596460                                                
1758-651  18  3    23.496667 -65  7    36.761210                                                
0151+474   1 54    56.289888  47 43    26.539570                                                
0216+011   2 19     7.024514   1 20    59.865950                                                
2113+293  21 15    29.413456  29 33    38.366970                                                
1243-072  12 46     4.232104 - 7 30    46.574550                                                
0008-264   0 11     1.246738 -26 12    33.377020                                                
2215+020  22 17    48.237932   2 20    10.712200                                                
1520+319  15 22     9.991732  31 44    14.381950                                                
0627-199   6 29    23.761865 -19 59    19.723560                                                
0322+222   3 25    36.814352  22 24      .365590                                                
2208-137  22 11    24.099454 -13 28     9.723890                                                
0641+392   6 44    53.709599  39 14    47.533920                                                
1929+226  19 31    24.916784  22 43    31.258620                                                
2214+350  22 16    20.009902  35 18    14.180020                                                
0055-059   0 58     5.066313 - 5 39    52.278170                                                
$END                                                                                            
  .8220990000000D+04           GR PH                                                            
$END                                                                                            
ISHIOKA   KATH12M   1502+106 2019 05 02 18 30  30.0000000000                 101                
    -979939.88578456    .00897    53818.8874170004    .01828 0      I        102                
    .00107    .00000    .00000    .00000  -3.777770705316794        0.       103                
  0.463   1.842 -0.0009 -0.0018  0.0048  0.0040      26510.154               104
    .00000    .00000    .00000    .00000    .00000    .00000                 105                
    12.221    25.300   999.600   996.100    98.610    85.300 0 0             106                
       -4.0430831051    .01391        -.0245642835    .01906  0              108                
ISHIOKA   YARRA12M  1502+106 2019 05 02 18 30  30.0000000000                 201                
   -1747392.86970105    .00833  -363463.9903945681    .01640 0      I        202                
    .00114    .00000    .00000    .00000  -3.968515623652084        0.       203                
  0.463   0.291 -0.0009  0.0013  0.0048  0.0023    -133468.754               204
    .00000    .00000    .00000    .00000    .00000    .00000                 205                
    12.221    13.686   999.600   986.000    98.610    36.028 0 0             206                
      -11.6232344600    .01280        -.0410316262    .01695  0              208                
KATH12M   YARRA12M  1502+106 2019 05 02 18 30  30.0000000000                 301                
    -767453.36741647    .01061  -417282.8923392020    .02022 0      I        302                
    .00088    .00000    .00000    .00000  -2.602500139401631        0.       303                
  1.842   0.291 -0.0018  0.0013  0.0040  0.0023    -159978.909               304
    .00000    .00000    .00000    .00000    .00000    .00000                 305                
    25.300    13.686   996.100   986.000    85.300    36.028 0 0             306                
       -7.5984519461    .01770        -.0389113254    .02268  0              308                
MEDICINA  WETTZ13N  1502+106 2019 05 02 18 30  30.0000000000                 401                
    -208040.77597893    .10311    92355.2599156993    .21008 8      I        402                
    .00014    .00000    .00000    .00000   -.230129924998525        0.       403                
  0.000   0.000  0.0000  0.0000  0.0000  0.0000          0.000               404
    .00000    .00000    .00000    .00000    .00000    .00000                 405                
    18.187    14.080  1008.007   936.110    39.952    39.600 0 0             406                
       -1.4658079240    .05624       -4.8618569942    .06479  0              408                
HART15M   KATH12M   1502+106 2019 05 02 18 30  30.0000000000                 501                
   -6113115.33461485    .00982  2221123.5092181650    .02001 0      I        502                
    .00098    .00000    .00000    .00000   2.482694375655000        0.       503                
  0.669   1.842 -0.0119 -0.0018 -0.0058  0.0040      11406.872               504
    .00000    .00000    .00000    .00000    .00000    .00000                 505                
    10.715    25.300   868.685   996.100    81.556    85.300 0 0             506                
        -.3951928267    .01316        -.0314529214    .01803  0              508                
HART15M   YARRA12M  1502+106 2019 05 02 18 30  30.0000000000                 601                
   -6880566.14784191    .00902  1803839.6424018880    .01837 0      I        602                
    .00106    .00000    .00000    .00000   -.358083247270847        0.       603                
  0.669   0.291 -0.0119  0.0013 -0.0058  0.0023    -148572.036               604
    .00000    .00000    .00000    .00000    .00000    .00000                 605                
    10.715    13.686   868.685   986.000    81.556    36.028 0 0             606                
       -8.0368485296    .01084        -.0388044363    .01486  0              608                
ISHIOKA   WETTZ13N  1502+106 2019 05 02 18 30  30.0000000000                 701                
    6353466.92971679    .01333 -1937887.2868556540    .02716 0      I        702                
    .00072    .00000    .00000    .00000   5.506963864266333        0.       703                
  0.463   0.657 -0.0009  0.0015  0.0048  0.0023        652.533               704
    .00000    .00000    .00000    .00000    .00000    .00000                 705                
    12.221    14.080   999.600   936.110    98.610    39.600 0 0             706                
       -6.8378366930    .01275         .0441880617    .01751  0              708                
ISHIOKA   MEDICINA  1502+106 2019 05 02 18 30  30.0000000000                 801                
    6561488.39643576    .10172 -2030186.7612655180    .20723 8      I        802                
    .00014    .00000    .00000    .00000  -1.949190505014369        0.       803                
  0.000   0.000  0.0000  0.0000  0.0000  0.0000          0.000               804
    .00000    .00000    .00000    .00000    .00000    .00000                 805                
    12.221    18.187   999.600  1008.007    98.610    39.952 0 0             806                
        1.7289898103    .05465        5.2920136542    .06297  0              808                
HART15M   WETTZ13N  1502+106 2019 05 02 18 30  30.0000000000                 901                
    1220301.69911309    .01156   229413.2509203448    .02355 0      I        902                
    .00083    .00000    .00000    .00000   5.450860114846070        0.       903                
  0.669   0.657 -0.0119  0.0015 -0.0058  0.0023     -14450.750               904
    .00000    .00000    .00000    .00000    .00000    .00000                 905                
    10.715    14.080   868.685   936.110    81.556    39.600 0 0             906                
       -3.2288150827    .00974         .0175595586    .01340  0              908                
NYALES20  WETTZ13N  1502+106 2019 05 02 18 30  30.0000000000                1001                
   -1453505.79337632    .00901  -682330.5433759170    .01836 0      I       1002                
    .00106    .00000    .00000    .00000  -1.759747206661855        0.      1003                
  0.381   0.657  0.0041  0.0015 -0.0249  0.0023     902818.292              1004
   -.05273    .00000    .00000    .00000    .00000    .00000                1005                
    -5.300    14.080  1016.400   936.110    74.064    39.600 0 0            1006                
         .5834243553    .00867        -.1105533128    .01190  0             1008                
ISHIOKA   NYALES20  1502+106 2019 05 02 18 30  30.0000000000                1101                
    7806978.16717617    .00564 -1255557.7101751490    .01149 0      I       1102                
    .00169    .00000    .00000    .00000   -.130950610210666        0.      1103                
  0.463   0.381 -0.0009  0.0041  0.0048 -0.0249    -902165.760              1104
    .00000   -.05273    .00000    .00000    .00000    .00000                1105                
    12.221    -5.300   999.600  1016.400    98.610    74.064 0 0            1106                
       -7.4664377536    .00797         .1527289227    .01092  0             1108                
MEDICINA  NYALES20  1502+106 2019 05 02 18 30  30.0000000000                1201                
    1245425.34435465    .10285   774632.1656257670    .20954 8      I       1202                
    .00013    .00000    .00000    .00000   -.609353894279395        0.      1203                
  0.000   0.000  0.0000  0.0000  0.0000  0.0000          0.000              1204
    .00000   -.05273    .00000    .00000    .00000    .00000                1205                
    18.187    -5.300  1008.007  1016.400    39.952    74.064 0 0            1206                
         .2060322183    .05755       -3.6160546850    .06623  0             1208                
HART15M   MEDICINA  1502+106 2019 05 02 18 30  30.0000000000                1301                
    1428375.11229020    .10502   137060.2852242444    .21397 8      I       1302                
    .00013    .00000    .00000    .00000   1.711426545527348        0.      1303                
  0.000   0.000  0.0000  0.0000  0.0000  0.0000          0.000              1304
    .00000    .00000    .00000    .00000    .00000    .00000                1305                
    10.715    18.187   868.685  1008.007    81.556    39.952 0 0            1306                
        -.6395486878    .06110       -4.5723933706    .07021  0             1308                
KATH12M   WETTZ13N  1502+106 2019 05 02 18 30  30.0000000000                1401                
    7333404.83779896    .02002 -1991706.2199464940    .03816 0      I       1402                
    .00046    .00000    .00000    .00000   2.065871315537902        0.      1403                
  1.842   0.657 -0.0018  0.0015  0.0040  0.0023     -25857.622              1404
    .00000    .00000    .00000    .00000    .00000    .00000                1405                
    25.300    14.080   996.100   936.110    85.300    39.600 0 0            1406                
       -2.8685860520    .03259         .1141603852    .04175  0             1408                
WETTZ13N  YARRA12M  1502+106 2019 05 02 18 30  30.0000000000                1501                
   -8100869.78660386    .01930  1574425.9117515170    .03677 0      I       1502                
    .00048    .00000    .00000    .00000  -4.582425653924386        0.      1503                
  0.657   0.291  0.0015  0.0013  0.0023  0.0023    -134121.287              1504
    .00000    .00000    .00000    .00000    .00000    .00000                1505                
    14.080    13.686   936.110   986.000    39.600    36.028 0 0            1506                
       -4.7387085826    .02996        -.0806695562    .03840  0             1508                
MEDICINA  YARRA12M  1502+106 2019 05 02 18 30  30.0000000000                1601                
   -8308993.85750995    .10672  1666736.9506910150    .21742 8      I       1602                
    .00010    .00000    .00000    .00000  -4.825693168962110        0.      1603                
  0.000   0.000  0.0000  0.0000  0.0000  0.0000          0.000              1604
    .00000    .00000    .00000    .00000    .00000    .00000                1605                
    18.187    13.686  1008.007   986.000    39.952    36.028 0 0            1606                
       -1.5309798124    .05599       -3.1486395077    .06463  0             1608                
KATH12M   MEDICINA  1502+106 2019 05 02 18 30  30.0000000000                1701                
    7541424.54912066    .10001 -2084003.2274129020    .20376 8      I       1702                
    .00015    .00000    .00000    .00000   2.753185255987732        0.      1703                
  0.000   0.000  0.0000  0.0000  0.0000  0.0000          0.000              1704
    .00000    .00000    .00000    .00000    .00000    .00000                1705                
    25.300    18.187   996.100  1008.007    85.300    39.952 0 0            1706                
        -.8916503568    .06194       -5.3299489939    .07102  0             1708                
HART15M   NYALES20  1502+106 2019 05 02 18 30  30.0000000000                1801                
    2673809.44445040    .00519   911744.3991476181    .01058 0      I       1802                
    .00184    .00000    .00000    .00000   3.674123405168109        0.      1803                
  0.669   0.381 -0.0119  0.0041 -0.0058 -0.0249    -917269.042              1804
    .00000   -.05273    .00000    .00000    .00000    .00000                1805                
    10.715    -5.300   868.685  1016.400    81.556    74.064 0 0            1806                
       -3.8096210197    .00715         .1356531435    .00980  0             1808                
HART15M   ISHIOKA   1502+106 2019 05 02 18 30  30.0000000000                1901                
   -5133175.16376937    .00683  2167304.5983708950    .01392 0      I       1902                
    .00140    .00000    .00000    .00000   1.603953747630819        0.      1903                
  0.669   0.463 -0.0119 -0.0009 -0.0058  0.0048     -15103.282              1904
    .00000    .00000    .00000    .00000    .00000    .00000                1905                
    10.715    12.221   868.685   999.600    81.556    98.610 0 0            1906                
        3.6294932712    .00771        -.0346066495    .01057  0             1908                
KATH12M   NYALES20  1502+106 2019 05 02 18 30  30.0000000000                2001                
    8786866.77008054    .00942 -1309376.6123821380    .01919 1      I       2002                
    .00102    .00000    .00000    .00000   -.250900667354109        0.      2003                
  0.000   0.000  0.0000  0.0000  0.0000  0.0000          0.000              2004
    .00000   -.05273    .00000    .00000    .00000    .00000                2005                
    25.300    -5.300   996.100  1016.400    85.300    74.064 0 0            2006                
         .4524056549    .02056         .1321808639    .02814  0             2008                
NYALES20  YARRA12M  1502+106 2019 05 02 18 30  30.0000000000                2101                
   -9554428.14074992    .00850   892094.1922669087    .01732 1      I       2102                
    .00112    .00000    .00000    .00000  -3.767356680190148        0.      2103                
  0.000   0.000  0.0000  0.0000  0.0000  0.0000          0.000              2104
   -.05273    .00000    .00000    .00000    .00000    .00000                2105                
    -5.300    13.686  1016.400   986.000    74.064    36.028 0 0            2106                
        -.3223211833    .01873        -.1909751526    .02564  0             2108                
FORTLEZA  WARK12M   0131-522 2019 05 02 18 31  20.0000000000                2201                
   -9225866.85115261    .09681 -1655113.9328836960    .07150 8      I       2202                
    .00007    .00000    .00000    .00000   -.378709363334483        0.      2203                
  0.000   0.000  0.0000  0.0000  0.0000  0.0000          0.000              2204
   -.03557    .00000    .00000    .00000    .00000    .00000                2205                
    28.070    11.553  1006.140  1014.500    76.940    99.400 0 0            2206                
        3.4210877932    .04574        5.5716334401    .02305  0             2208                
WARK12M   YARRA12M  1424-418 2019 05 02 18 33  48.0000000000                2301                
  -10808214.17664350    .11254  -316880.2823301783    .23747 8      I       2302                
    .00011    .00000    .00000    .00000  -4.847840549219428        0.      2303                
  0.000   0.000  0.0000  0.0000  0.0000  0.0000          0.000              2304
    .00000    .00000    .00000    .00000    .00000    .00000                2305                
    11.400    13.600  1014.500   986.000    99.448    36.244 0 0            2306                
         .1287872462    .04606        -.6116176041    .06665  0             2308                
KATH12M   WARK12M   1424-418 2019 05 02 18 33  48.0000000000                2401                
    5454920.36301425    .10719    22985.7135807044    .23455 8      I       2402                
    .00010    .00000    .00000    .00000   3.933852984168048        0.      2403                
  0.000   0.000  0.0000  0.0000  0.0000  0.0000          0.000              2404
    .00000    .00000    .00000    .00000    .00000    .00000                2405                
    25.300    11.400   996.100  1014.500    85.300    99.448 0 0            2406                
        3.4951897646    .04895        4.9273127451    .07318  0             2408                
KATH12M   YARRA12M  1424-418 2019 05 02 18 33  48.0000000000                2501                
   -5353235.55189975    .01095  -293857.1503179185    .02230 0      I       2502                
    .00088    .00000    .00000    .00000  -4.299758801087813        0.      2503                
  1.980   0.242  0.0033 -0.0004  0.0040  0.0015    -159977.619              2504
    .00000    .00000    .00000    .00000    .00000    .00000                2505                
    25.300    13.600   996.100   986.000    85.300    36.244 0 0            2506                
       -7.7174834732    .00836         .0051810228    .01151  0             2508                
HART15M   KATH12M   1424-418 2019 05 02 18 33  48.0000000000                2601                
    2610939.63775591    .01528  1699281.1469362090    .03114 0      I       2602                
    .00063    .00000    .00000    .00000   3.551851021619846        0.      2603                
  0.329   1.980  0.0032  0.0033 -0.0009  0.0040      11406.237              2604
    .00000    .00000    .00000    .00000    .00000    .00000                2605                
    10.786    25.300   868.600   996.100    81.272    85.300 0 0            2606                
        -.3176120763    .00849        -.0025657428    .01175  0             2608                
HART15M   YARRA12M  1424-418 2019 05 02 18 33  48.0000000000                2701                
   -2742296.67582684    .01406  1405423.4907821750    .02864 0      I       2702                
    .00068    .00000    .00000    .00000  -3.181518764652261        0.      2703                
  0.329   0.242  0.0032 -0.0004 -0.0009  0.0015    -148571.382              2704
    .00000    .00000    .00000    .00000    .00000    .00000                2705                
    10.786    13.600   868.600   986.000    81.272    36.244 0 0            2706                
       -8.0158010673    .00590         .0123650054    .00823  0             2708                
HART15M   WARK12M   1424-418 2019 05 02 18 33  48.0000000000                2801                
    8065918.25561578    .10363  1722287.0639902390    .22678 8      I       2802                
    .00010    .00000    .00000    .00000    .181292427520218        0.      2803                
  0.000   0.000  0.0000  0.0000  0.0000  0.0000          0.000              2804
    .00000    .00000    .00000    .00000    .00000    .00000                2805                
    10.786    11.400   868.600  1014.500    81.272    99.448 0 0            2806                
       -4.4217060079    .04665       -3.5104883778    .06977  0             2808                
MEDICINA  WETTZ13N  0039+568 2019 05 02 18 35  19.0000000000                2901                
   -1394792.42921873    .09907   -40825.4892842663    .09595 8      I       2902                
    .00009    .00000    .00000    .00000  -5.944838680168289        0.      2903                
  0.000   0.000  0.0000  0.0000  0.0000  0.0000          0.000              2904
    .00000    .00000    .00000    .00000    .00000    .00000                2905                
    17.951    13.900  1008.100   936.200    40.700    39.613 0 0            2906                
       -3.7777870264    .06036        -.5085769739    .03292  0             2908                
ISHIOKA   WETTZ13N  0039+568 2019 05 02 18 35  19.0000000000                3001                
    2695844.70706114    .05298  1022362.5616507720    .04173 8      I       3002                
    .00011    .00000    .00000    .00000   2.038436362094287        0.      3003                
  0.000   0.000  0.0000  0.0000  0.0000  0.0000          0.000              3004
    .00000    .00000    .00000    .00000    .00000    .00000                3005                
    12.490    13.900   999.600   936.200    98.745    39.613 0 0            3006                
         .8813957102    .04283        -.0175382287    .02278  0             3008                
ISHIOKA   MEDICINA  0039+568 2019 05 02 18 35  19.0000000000                3101                
    4090621.91280995    .09720  1063179.9945352360    .09414 8      I       3102                
    .00008    .00000    .00000    .00000    .801235449767931        0.      3103                
  0.000   0.000  0.0000  0.0000  0.0000  0.0000          0.000              3104
    .00000    .00000    .00000    .00000    .00000    .00000                3105                
    12.490    17.951   999.600  1008.100    98.745    40.700 0 0            3106                
       -2.4854479611    .05647       -6.6275886558    .03085  0             3108                
NYALES20  WETTZ13N  0039+568 2019 05 02 18 35  19.0000000000                3201                
    8388876.39741359    .03253   241022.9834898301    .03432 8      I       3202                
    .00021    .00000    .00000    .00000   1.597317549668505        0.      3203                
  0.000   0.000  0.0000  0.0000  0.0000  0.0000          0.000              3204
   -.00498    .00000    .00000    .00000    .00000    .00000                3205                
    -5.340    13.900  1016.300   936.200    74.320    39.613 0 0            3206                
        3.2272345799    .04880       -3.6666717850    .03462  0             3208                
ISHIOKA   NYALES20  0039+568 2019 05 02 18 35  19.0000000000                3301                
   -5693030.38874684    .02640   781339.2251106330    .02785 0      I       3302                
    .00026    .00000    .00000    .00000  -6.037656768376385        0.      3303                
  0.550   0.117  0.0043 -0.0011 -0.0050  0.0008    -902164.656              3304
    .00000   -.00498    .00000    .00000    .00000    .00000                3305                
    12.490    -5.340   999.600  1016.300    98.745    74.320 0 0            3306                
       -7.5041092345    .02183        -.1335899396    .01555  0             3308                
MEDICINA  NYALES20  0039+568 2019 05 02 18 35  19.0000000000                3401                
   -9783687.25042072    .10303  -281843.4735757193    .10871 8      I       3402                
    .00008    .00000    .00000    .00000  -5.879893235928963        0.      3403                
  0.000   0.000  0.0000  0.0000  0.0000  0.0000          0.000              3404
    .00000   -.00498    .00000    .00000    .00000    .00000                3405                
    17.951    -5.340  1008.100  1016.300    40.700    74.320 0 0            3406                
       -1.1653982323    .05426         .6541394115    .03244  0             3408                
WARK12M   YARRA12M  2121+053 2019 05 02 18 36    .0000000000                3501                
    9343809.18250544    .10054 -1083949.9642632400    .15232 8      I       3502                
    .00009    .00000    .00000    .00000   -.090817463340579        0.      3503                
  0.000   0.000  0.0000  0.0000  0.0000  0.0000          0.000              3504
    .00000    .00000    .00000    .00000    .00000    .00000                3505                
    11.727    13.600  1014.500   986.000    99.784    36.379 0 0            3506                
        2.6333355941    .04591        9.0379662268    .04750  0             3508                
KATH12M   WARK12M   2121+053 2019 05 02 18 36    .0000000000                3601                
   -2959460.58191855    .10468   985493.7502712600    .17181 8      I       3602                
    .00008    .00000    .00000    .00000  -4.873333392438102        0.      3603                
  0.000   0.000  0.0000  0.0000  0.0000  0.0000          0.000              3604
    .00000    .00000    .00000    .00000    .00000    .00000                3605                
    25.279    11.727   996.100  1014.500    85.279    99.784 0 0            3606                
         .7764516458    .04983        8.7521794364    .05580  0             3608                
KATH12M   YARRA12M  2121+053 2019 05 02 18 36    .0000000000                3701                
    6384414.96546464    .01333   -98439.6783867893    .02187 0      I       3702                
    .00064    .00000    .00000    .00000    .382331162548450        0.      3703                
  1.949   0.681 -0.0015  0.0032 -0.0050 -0.0238    -159976.760              3704
    .00000    .00000    .00000    .00000    .00000    .00000                3705                
    25.279    13.600   996.100   986.000    85.279    36.379 0 0            3706                
       -7.5518348164    .01508         .0356016868    .01666  0             3708                
FORTLEZA  HART15M   0955+476 2019 05 02 18 37  21.0000000000                3801                
    2877957.94184907    .04814  1071865.5819612990    .07485 0      I       3802                
    .00018    .00000    .00000    .00000   2.792988861640056        0.      3803                
  2.054   0.886  0.0169 -0.0560  0.0126  0.0025      16815.371              3804
   -.02732    .00000    .00000    .00000    .00000    .00000                3805                
    28.060    10.715  1006.179   868.600    77.038    81.175 0 0            3806                
        -.3312356731    .01997        -.0523722073    .02129  0             3808                
WARK12M   YARRA12M  1741-038 2019 05 02 18 38  33.0000000000                3901                
   -6688383.61576534    .09932 -1188617.1535643220    .20958 8      I       3902                
    .00013    .00000    .00000    .00000  -2.344616131037117        0.      3903                
  0.000   0.000  0.0000  0.0000  0.0000  0.0000          0.000              3904
    .00000    .00000    .00000    .00000    .00000    .00000                3905                
    11.900    13.576  1014.500   986.000    99.848    36.336 0 0            3906                
        -.7962813766    .04471       -3.4824191676    .06447  0             3908                
ISHIOKA   KATH12M   1741-038 2019 05 02 18 38  33.0000000000                4001                
   -5002248.12554137    .00921  -147516.2460296208    .01876 0      I       4002                
    .00104    .00000    .00000    .00000    .626926363258120        0.      4003                
  0.351   1.194 -0.0017 -0.0004  0.0010  0.0003      26508.655              4004
    .00000    .00000    .00000    .00000    .00000    .00000                4005                
    12.879    25.200   999.600   996.100    99.000    85.200 0 0            4006                
       -4.0383220952    .00766        -.0027629693    .01054  0             4008                
ISHIOKA   YARRA12M  1741-038 2019 05 02 18 38  33.0000000000                4101                
   -3113361.63993691    .00950  -558011.0479436464    .01871 0      I       4102                
    .00100    .00000    .00000    .00000  -1.071712082188832        0.      4103                
  0.351   0.232 -0.0017  0.0005  0.0010 -0.0006    -133467.110              4104
    .00000    .00000    .00000    .00000    .00000    .00000                4105                
    12.879    13.576   999.600   986.000    99.000    36.336 0 0            4106                
      -11.6811463881    .00748        -.0016567723    .00995  0             4108                
KATH12M   WARK12M   1741-038 2019 05 02 18 38  33.0000000000                4201                
    8577217.81587649    .10698   778076.4661386900    .23410 8      I       4202                
    .00011    .00000    .00000    .00000    .299686016809321        0.      4203                
  0.000   0.000  0.0000  0.0000  0.0000  0.0000          0.000              4204
    .00000    .00000    .00000    .00000    .00000    .00000                4205                
    25.200    11.900   996.100  1014.500    85.200    99.848 0 0            4206                
        1.9858266935    .04764         .4906079467    .07127  0             4208                
KATH12M   YARRA12M  1741-038 2019 05 02 18 38  33.0000000000                4301                
    1888884.42713028    .00975  -410494.9756834495    .01986 0      I       4302                
    .00098    .00000    .00000    .00000   4.927902628438262        0.      4303                
  1.194   0.232 -0.0004  0.0005  0.0003 -0.0006    -159975.765              4304
    .00000    .00000    .00000    .00000    .00000    .00000                4305                
    25.200    13.576   996.100   986.000    85.200    36.336 0 0            4306                
       -7.6787122168    .00936         .0022438000    .01285  0             4308                
ISHIOKA   WARK12M   1741-038 2019 05 02 18 38  33.0000000000                4401                
    3574959.34750081    .11244   630565.6122022948    .23726 8      I       4402                
    .00010    .00000    .00000    .00000   1.834690690265557        0.      4403                
  0.000   0.000  0.0000  0.0000  0.0000  0.0000          0.000              4404
    .00000    .00000    .00000    .00000    .00000    .00000                4405                
    12.879    11.900   999.600  1014.500    99.000    99.848 0 0            4406                
        4.0497897560    .04935        4.7733860417    .07123  0             4408                
FORTLEZA  ISHIOKA   1156+295 2019 05 02 18 40  27.0000000000                4501                
    -187252.17452368    .06485  2398765.8398268720    .07820 0      I       4502                
    .00011    .00000    .00000    .00000  -1.390718433889810        0.      4503                
  5.426   1.572  0.0782  0.0281  0.1505  0.0731       1711.868              4504
   -.01857    .00000    .00000    .00000    .00000    .00000                4505                
    28.050    12.775  1006.211   999.600    77.092    99.000 0 0            4506                
        3.0419637998    .02067        -.0928792250    .01732  0             4508                
MEDICINA  WETTZ13N  1623+578 2019 05 02 18 42   1.0000000000                4601                
   -1187161.75953012    .08713    47986.9669505196    .03502 8      I       4602                
    .00007    .00000    .00000    .00000  -2.912190620451457        0.      4603                
  0.000   0.000  0.0000  0.0000  0.0000  0.0000          0.000              4604
    .00000    .00000    .00000    .00000    .00000    .00000                4605                
    17.753    13.857  1008.200   936.243    41.486    39.700 0 0            4606                
       -2.5138362948    .05183        4.6121035147    .01174  0             4608                
NYALES20  WETTZ13N  1623+578 2019 05 02 18 42   1.0000000000                4701                
    4412819.90264829    .03893  -384092.1300997307    .01156 8      I       4702                
    .00009    .00000    .00000    .00000   4.719476717309827        0.      4703                
  0.000   0.000  0.0000  0.0000  0.0000  0.0000          0.000              4704
   -.04035    .00000    .00000    .00000    .00000    .00000                4705                
    -5.300    13.857  1016.200   936.243    72.200    39.700 0 0            4706                
         .5439830171    .03989        -.0948514108    .00798  0             4708                
MEDICINA  NYALES20  1623+578 2019 05 02 18 42   1.0000000000                4801                
   -5600008.02584231    .09920   432090.9451791190    .03987 8      I       4802                
    .00005    .00000    .00000    .00000  -3.785784955985169        0.      4803                
  0.000   0.000  0.0000  0.0000  0.0000  0.0000          0.000              4804
    .00000   -.04035    .00000    .00000    .00000    .00000                4805                
    17.753    -5.300  1008.200  1016.200    41.486    72.200 0 0            4806                
