DATA IN NGS FORMAT FROM DATABASE 19FEB14XE_V002                                                 
    26.156    -9.750   993.461   988.000    75.337    70.094 0 0             806                
        0.1309868181   0.00787       -0.0310845882   0.00929  0              808                
KATH12M   YARRA12M  OJ287    2019 02 14 18 30  30.0000000000                 901                
   -1372525.41578737   0.01077  -349048.0691842238   0.02195 0      I        902                
   0.00089    .00000    .00000    .00000  -1.452772084659473       0.0       903                
  2.354   0.796  0.0074  0.0128  0.0398  0.0104      -4606.610               904
   0.00000   0.00000    .00000    .00000    .00000    .00000                 905                
    26.156    17.200   993.461   983.600    75.337    50.000 0 0             906                
        3.9276967870   0.01207       -0.0040853152   0.01551  0              908                
NYALES20  YARRA12M  OJ287    2019 02 14 18 30  30.0000000000                1001                
      35710.17144929   0.01241  1120643.5850546523   0.02528 0      I       1002                
   0.00077    .00000    .00000    .00000   0.864803640249523       0.0      1003                
 -0.054   0.796 -0.0127  0.0128  0.0007  0.0104     309151.755              1004
  -0.01597   0.00000    .00000    .00000    .00000    .00000                1005                
    -9.750    17.200   988.000   983.600    70.094    50.000 0 0            1006                
        3.7908837683   0.00773        0.0114747238   0.00833  0             1008                
ISHIOKA   KATH12M   1424-418 2019 02 14 18 32  49.0000000000                1101                
  -13688677.81884360   0.00912  -194639.3391165701   0.01796 0      I       1102                
   0.00104    .00000    .00000    .00000  -0.872869755980128       0.0      1103                
  0.411   1.049  0.0799 -0.0016 -0.0183 -0.0027      20768.543              1104
   0.00000   0.00000    .00000    .00000    .00000    .00000                1105                
    -1.638    26.125  1012.600   993.521    62.582    76.016 0 0            1106                
       -0.1832861482   0.00832       -0.0196331580   0.00999  0             1108                
ISHIOKA   WARK12M   1424-418 2019 02 14 18 32  49.0000000000                1201                
  -16454831.91588939   0.01585   548300.3445872365   0.03074 0      I       1202                
   0.00071    .00000    .00000    .00000  -3.788685937360592       0.0      1203                
  0.411   0.366  0.0799 -0.0007 -0.0183 -0.0005     -63316.742              1204
   0.00000   0.00000    .00000    .00000    .00000    .00000                1205                
    -1.638    10.000  1012.600  1000.000    62.582    50.000 0 0            1206                
        0.7902018827   0.02344       -0.0119334478   0.01587  0             1208                
ISHIOKA   YARRA12M  1424-418 2019 02 14 18 32  49.0000000000                1301                
  -13626618.65780650   0.01358  -405788.4398788897   0.02767 0      I       1302                
   0.00070    .00000    .00000    .00000  -4.496627125717522       0.0      1303                
  0.411   0.405  0.0799 -0.0017 -0.0183 -0.0020      16162.290              1304
   0.00000   0.00000    .00000    .00000    .00000    .00000                1305                
    -1.638    17.200  1012.600   983.591    62.582    50.000 0 0            1306                
        3.7147677623   0.00998        0.0040642051   0.01166  0             1308                
KATH12M   WARK12M   1424-418 2019 02 14 18 32  49.0000000000                1401                
   -2766143.94161272   0.01991   742939.6610967986   0.03863 0      I       1402                
   0.00056    .00000    .00000    .00000   1.634155325972863       0.0      1403                
  1.049   0.366 -0.0016 -0.0007 -0.0027 -0.0005     -84085.285              1404
   0.00000   0.00000    .00000    .00000    .00000    .00000                1405                
    26.125    10.000   993.521  1000.000    76.016    50.000 0 0            1406                
        0.9626213332   0.03615       -0.0299200444   0.02469  0             1408                
KATH12M   YARRA12M  1424-418 2019 02 14 18 32  49.0000000000                1501                
      62056.24677683   0.01180  -211149.2619567383   0.02403 0      I       1502                
   0.00081    .00000    .00000    .00000   4.495838297402640       0.0      1503                
  1.049   0.405 -0.0016 -0.0017 -0.0027 -0.0020      -4606.253              1504
   0.00000   0.00000    .00000    .00000    .00000    .00000                1505                
    26.125    17.200   993.521   983.591    76.016    50.000 0 0            1506                
        3.8976142521   0.01101        0.0207157430   0.01373  0             1508                
WARK12M   YARRA12M  1424-418 2019 02 14 18 32  49.0000000000                1601                
    2828197.63854690   0.02374  -954088.2747845697   0.04605 0      I       1602                
   0.00047    .00000    .00000    .00000   0.588601144905926       0.0      1603                
  0.366   0.405 -0.0007 -0.0017 -0.0005 -0.0020      79479.032              1604
   0.00000   0.00000    .00000    .00000    .00000    .00000                1605                
    10.000    17.200  1000.000   983.591    50.000    50.000 0 0            1606                
        2.8115156949   0.02998        0.0291546065   0.02008  0             1608                
FORTLEZA  NYALES20  0017+200 2019 02 14 18 33   7.0000000000                1701                
    9514157.62190242   0.02144  -214458.4149849801   0.03423 0      I       1702                
   0.00040    .00000    .00000    .00000   2.545759894480839       0.0      1703                
  1.309  -0.046 -0.0012 -0.0090  0.0006 -0.0009    -293669.700              1704
  -0.02358   0.02538    .00000    .00000    .00000    .00000                1705                
    29.900    -9.528  1006.812   988.000    72.342    68.323 0 0            1706                
       -0.4498346062   0.01516        0.0183037107   0.01490  0             1708                
BADARY    HART15M   0544+273 2019 02 14 18 33  18.0000000000                1801                
   -2835010.66384576   0.03107  -763800.6192885237   0.06119 0      I       1802                
   0.00030    .00000    .00000    .00000  -6.189947504783694       0.1      1803                
  0.089   1.482  0.0017  0.0058  0.0049 -0.0007    -422461.161              1804
   0.00000   0.00000    .00000    .00000    .00000    .00000                1805                
   -19.875    16.817   931.100   866.400    45.949    88.717 0 0            1806                
        0.0928464786   0.02088       -0.0035336294   0.02267  0             1808                
ISHIOKA   KATH12M   1749+096 2019 02 14 18 35  12.0000000000                1901                
    4196782.88289810   0.00971  -298522.2866674894   0.01978 0      I       1902                
   0.00098    .00000    .00000    .00000   1.839656819908282       0.0      1903                
  0.165   3.568  0.0017  0.0090 -0.0154 -0.1055      20768.326              1904
   0.00000   0.00000    .00000    .00000    .00000    .00000                1905                
    -2.109    26.053  1012.623   993.579    62.259    76.211 0 0            1906                
       -0.0249492530   0.01701        0.0339328389   0.02270  0             1908                
ISHIOKA   WARK12M   1749+096 2019 02 14 18 35  12.0000000000                2001                
   -3172885.37899338   0.01191   497234.3493528653   0.02309 0      I       2002                
   0.00094    .00000    .00000    .00000  -2.580741580663466       0.0      2003                
  0.165   0.578  0.0017  0.0088 -0.0154  0.0028     -63317.074              2004
   0.00000   0.00000    .00000    .00000    .00000    .00000                2005                
    -2.109    10.000  1012.623  1000.000    62.259    50.000 0 0            2006                
        0.9207191536   0.04472        0.0140657738   0.03095  0             2008                
KATH12M   WARK12M   1749+096 2019 02 14 18 35  12.0000000000                2101                
   -7369671.51712866   0.01350   795756.6777302751   0.02109 0      I       2102                
   0.00074    .00000    .00000    .00000  -0.579717172404558       0.0      2103                
  3.568   0.578  0.0090  0.0088 -0.1055  0.0028     -84085.400              2104
   0.00000   0.00000    .00000    .00000    .00000    .00000                2105                
    26.053    10.000   993.579  1000.000    76.211    50.000 0 0            2106                
        0.9363400162   0.05257       -0.1100989075   0.02931  0             2108                
FORTLEZA  HART15M   0048-097 2019 02 14 18 37  17.0000000000                2201                
   15438702.25374668   0.07413  1020982.3030321711   0.04813 0      I       2202                
   0.00007    .00000    .00000    .00000  -1.090466328901279       0.1      2203                
  1.163   3.521  0.0002 -0.0026  0.0003 -0.0757       5929.035              2204
  -0.01958   0.00000    .00000    .00000    .00000    .00000                2205                
    29.900    16.917  1006.900   866.417    70.457    88.817 0 0            2206                
       -3.9439991369   0.03901       -0.0383178354   0.01260  0             2208                
KATH12M   WARK12M   1057-797 2019 02 14 18 37  32.0000000000                2301                
   -5061241.36370985   0.01326    71804.0178362759   0.01491 1      I       2302                
   0.00065    .00000    .00000    .00000  -2.935208854385230       0.0      2303                
  0.000   0.000  0.0000  0.0000  0.0000  0.0000          0.000              2304
   0.00000   0.00000    .00000    .00000    .00000    .00000                2305                
    26.028    10.000   993.616  1000.000    76.408    50.000 0 0            2306                
        1.0493710291   0.04240       -0.0137239864   0.01699  0             2308                
KATH12M   YARRA12M  1057-797 2019 02 14 18 37  32.0000000000                2401                
   -5018077.73785989   0.01203   -75373.5398430643   0.01546 0      I       2402                
   0.00063    .00000    .00000    .00000  -1.888665375552356       0.0      2403                
  2.279   0.558 -0.0143 -0.0073  0.0040  0.0003      -4605.525              2404
   0.00000   0.00000    .00000    .00000    .00000    .00000                2405                
    26.028    17.200   993.616   983.500    76.408    50.000 0 0            2406                
        3.8363775750   0.02029        0.0098179269   0.01704  0             2408                
WARK12M   YARRA12M  1057-797 2019 02 14 18 37  32.0000000000                2501                
      43162.97899196   0.01364  -147177.4425531664   0.01668 0      I       2502                
   0.00066    .00000    .00000    .00000   0.947225080457086       0.0      2503                
  0.519   0.558 -0.0093 -0.0073 -0.0008  0.0003      79479.988              2504
   0.00000   0.00000    .00000    .00000    .00000    .00000                2505                
    10.000    17.200  1000.000   983.500    50.000    50.000 0 0            2506                
        2.7319735524   0.03848        0.0111240476   0.01673  0             2508                
BADARY    ISHIOKA   1219+044 2019 02 14 18 37  44.0000000000                2601                
   -3801256.31942070   0.01806   715789.2935074285   0.01976 0      I       2602                
   0.00039    .00000    .00000    .00000  -0.868336589751623       0.0      2603                
  0.083   0.091 -0.0048  0.0022 -0.0011  0.0016    -429070.692              2604
   0.00000   0.00000    .00000    .00000    .00000    .00000                2605                
   -19.651    -1.875   931.125  1012.750    46.226    62.950 0 0            2606                
        3.4690864891   0.01553       -0.0031038422   0.01021  0             2608                
BADARY    ISHIOKA   1123+264 2019 02 14 18 41  13.0000000000                2701                
     510766.06792301   0.01537   688672.7479061229   0.01853 0      I       2702                
   0.00048    .00000    .00000    .00000   1.553606154590653       0.0      2703                
  0.066   0.088 -0.0015  0.0003 -0.0001  0.0022    -429070.694              2704
   0.00000   0.00000    .00000    .00000    .00000    .00000                2705                
   -19.444    -2.134   931.200  1012.900    45.754    63.514 0 0            2706                
        3.5114510501   0.00778        0.0059010995   0.00411  0             2708                
BADARY    KATH12M   1123+264 2019 02 14 18 41  13.0000000000                2801                
    4472636.08700642   0.02922   646163.9044916077   0.03523 0      I       2802                
   0.00025    .00000    .00000    .00000  -0.376775775225031       0.1      2803                
  0.066   1.308 -0.0015  0.0033 -0.0001  0.0056    -408302.919              2804
   0.00000   0.00000    .00000    .00000    .00000    .00000                2805                
   -19.444    25.995   931.200   993.633    45.754    76.923 0 0            2806                
        3.4718656637   0.01536        0.0099793711   0.00850  0             2808                
BADARY    NYALES20  1123+264 2019 02 14 18 41  13.0000000000                2901                
    9943899.88219980   0.00972  -196658.8773101564   0.01172 0      I       2902                
   0.00075    .00000    .00000    .00000   1.505745954008621       0.0      2903                
  0.066  -0.053 -0.0015  0.0054 -0.0001  0.0018    -722058.978              2904
   0.00000   0.01381    .00000    .00000    .00000    .00000                2905                
   -19.444    -9.423   931.200   988.000    45.754    70.192 0 0            2906                
        3.6186124828   0.00534        0.0113153023   0.00309  0             2908                
BADARY    YARRA12M  1123+264 2019 02 14 18 41  13.0000000000                3001                
    6887254.25336353   0.03047   249210.9903017401   0.03674 0      I       3002                
   0.00024    .00000    .00000    .00000   2.299375682019395       0.1      3003                
  0.066   0.592 -0.0015  0.0093 -0.0001  0.0011    -412907.875              3004
   0.00000   0.00000    .00000    .00000    .00000    .00000                3005                
   -19.444    17.190   931.200   983.490    45.754    50.000 0 0            3006                
        7.4258016988   0.01514       -0.0034003111   0.00779  0             3008                
ISHIOKA   KATH12M   1123+264 2019 02 14 18 41  13.0000000000                3101                
    3961870.00831686   0.02140   -42508.6792162765   0.00632 0      I       3102                
   0.00017    .00000    .00000    .00000   0.058680191327347       0.0      3103                
  0.088   1.308  0.0003  0.0033  0.0022  0.0056      20767.776              3104
   0.00000   0.00000    .00000    .00000    .00000    .00000                3105                
    -2.134    25.995  1012.900   993.633    63.514    76.923 0 0            3106                
       -0.0645539232   0.01372        0.0007570662   0.00218  0             3108                
ISHIOKA   NYALES20  1123+264 2019 02 14 18 41  13.0000000000                3201                
    9433134.42203240   0.02331  -885330.9277254306   0.01051 0      I       3202                
   0.00019    .00000    .00000    .00000   1.989361493739070       0.0      3203                
  0.088  -0.053  0.0003  0.0054  0.0022  0.0018    -292988.284              3204
   0.00000   0.01381    .00000    .00000    .00000    .00000                3205                
    -2.134    -9.423  1012.900   988.000    63.514    70.192 0 0            3206                
        0.1074512221   0.01189       -0.0024132371   0.00238  0             3208                
ISHIOKA   YARRA12M  1123+264 2019 02 14 18 41  13.0000000000                3301                
    6376488.50732933   0.02612  -439461.4578389387   0.00776 0      I       3302                
   0.00014    .00000    .00000    .00000   4.853702699410911       0.0      3303                
  0.088   0.592  0.0003  0.0093  0.0022  0.0011      16162.819              3304
   0.00000   0.00000    .00000    .00000    .00000    .00000                3305                
    -2.134    17.190  1012.900   983.490    63.514    50.000 0 0            3306                
        3.8907153555   0.01426        0.0025703816   0.00203  0             3308                
KATH12M   NYALES20  1123+264 2019 02 14 18 41  13.0000000000                3401                
    5471267.77205928   0.04462  -842821.9416140956   0.02012 0      I       3402                
   0.00010    .00000    .00000    .00000   4.626537188956023       0.1      3403                
  1.308  -0.053  0.0033  0.0054  0.0056  0.0018    -313756.059              3404
   0.00000   0.01381    .00000    .00000    .00000    .00000                3405                
    25.995    -9.423   993.633   988.000    76.923    70.192 0 0            3406                
        0.1668277722   0.02259        0.0027562136   0.00446  0             3408                
KATH12M   YARRA12M  1123+264 2019 02 14 18 41  13.0000000000                3501                
    2414620.03502580   0.02973  -396952.8079625365   0.00883 0      I       3502                
   0.00012    .00000    .00000    .00000   4.397455267780716       0.1      3503                
  1.308   0.592  0.0033  0.0093  0.0056  0.0011      -4604.957              3504
   0.00000   0.00000    .00000    .00000    .00000    .00000                3505                
    25.995    17.190   993.633   983.490    76.923    50.000 0 0            3506                
        3.9478610133   0.01755       -0.0009012995   0.00266  0             3508                
NYALES20  YARRA12M  1123+264 2019 02 14 18 41  13.0000000000                3601                
   -3056650.21668738   0.04547   445869.0015882011   0.02051 0      I       3602                
   0.00010    .00000    .00000    .00000  -4.346946020862382       0.1      3603                
 -0.053   0.592  0.0054  0.0093  0.0018  0.0011     309151.103              3604
   0.01381   0.00000    .00000    .00000    .00000    .00000                3605                
    -9.423    17.190   988.000   983.490    70.192    50.000 0 0            3606                
        3.8199319878   0.02234        0.0013013336   0.00423  0             3608                
FORTLEZA  HART15M   0332-403 2019 02 14 18 48   3.0000000000                3701                
   -1532770.25325590   0.02885  1206163.2296943171   0.00857 0      I       3702                
   0.00013    .00000    .00000    .00000  -1.001254293967205       0.1      3703                
  1.563   1.076  0.0024 -0.0013 -0.0008 -0.0036       5928.833              3704
  -0.02008   0.00000    .00000    .00000    .00000    .00000                3705                
    29.610    17.043  1006.900   866.500    74.425    88.985 0 0            3706                
       -4.2457783290   0.01648        0.0028352642   0.00265  0             3708                
BADARY    ISHIOKA   3C418    2019 02 14 18 48  11.0000000000                3801                
    -963951.09943173   0.04306  -384218.8387912601   0.08480 1      I       3802                
   0.00022    .00000    .00000    .00000  -3.661906419983479       0.1      3803                
  0.000   0.000  0.0000  0.0000  0.0000  0.0000          0.000              3804
   0.00000   0.00000    .00000    .00000    .00000    .00000                3805                
   -19.082    -2.379   931.200  1012.900    43.861    64.606 0 0            3806                
        3.5314117811   0.01739        0.0248017008   0.00718  0             3808                
BADARY    NYALES20  3C418    2019 02 14 18 48  11.0000000000                3901                
   -8422958.88228669   0.00310   523513.7379574538   0.00631 0      I       3902                
   0.00308    .00000    .00000    .00000   1.244923946329531       0.0      3903                
  0.164  -0.040  0.0256  0.0063 -0.0060 -0.0005    -722058.118              3904
   0.00000  -0.02282    .00000    .00000    .00000    .00000                3905                
   -19.082    -9.278   931.200   988.000    43.861    74.169 0 0            3906                
        3.6822952021   0.00255        0.0310740960   0.00309  0             3908                
ISHIOKA   NYALES20  3C418    2019 02 14 18 48  11.0000000000                4001                
   -7459006.61031648   0.01165   907732.8876717495   0.02374 0      I       4002                
   0.00082    .00000    .00000    .00000  -0.425675673896630       0.0      4003                
  0.260  -0.040 -0.0171  0.0063 -0.0162 -0.0005    -292987.422              4004
   0.00000  -0.02282    .00000    .00000    .00000    .00000                4005                
    -2.379    -9.278  1012.900   988.000    64.606    74.169 0 0            4006                
        0.1057268729   0.00762        0.0259423525   0.00845  0             4008                
KATH12M   WARK12M   1741-038 2019 02 14 18 48  23.0000000000                4101                
   -8158572.17189381   0.01616   858967.3640314636   0.03135 0      I       4102                
   0.00069    .00000    .00000    .00000  -3.909184389306754       0.0      4103                
  2.248   0.436  0.0005  0.0036 -0.0414  0.0014     -84086.029              4104
   0.00000   0.00000    .00000    .00000    .00000    .00000                4105                
    25.754    10.000   993.567  1000.000    78.584    50.000 0 0            4106                
        0.9071791445   0.03486       -0.0143505610   0.02393  0             4108                
KATH12M   YARRA12M  1741-038 2019 02 14 18 48  23.0000000000                4201                
    5689715.63208000   0.01657    37916.7693661211   0.03375 0      I       4202                
   0.00058    .00000    .00000    .00000  -0.198554438494866       0.0      4203                
  2.248   2.876  0.0005 -0.0027 -0.0414 -0.1707      -4603.847              4204
   0.00000   0.00000    .00000    .00000    .00000    .00000                4205                
    25.754    17.074   993.567   983.400    78.584    50.000 0 0            4206                
        3.9141277339   0.01465       -0.0482875352   0.01806  0             4208                
WARK12M   YARRA12M  1741-038 2019 02 14 18 48  23.0000000000                4301                
   13848281.28413292   0.01900  -821050.4673413397   0.03686 0      I       4302                
   0.00059    .00000    .00000    .00000   5.344215959522719       0.0      4303                
  0.436   2.876  0.0036 -0.0027  0.0014 -0.1707      79482.182              4304
   0.00000   0.00000    .00000    .00000    .00000    .00000                4305                
    10.000    17.074  1000.000   983.400    50.000    50.000 0 0            4306                
        2.8334717226   0.03624        0.0981224243   0.02479  0             4308                
BADARY    ISHIOKA   1806+456 2019 02 14 18 50  33.0000000000                4401                
   -4399751.34372118   0.01860  -137255.5914179628   0.03664 0      I       4402                
   0.00051    .00000    .00000    .00000  -2.828194253354249       0.0      4403                
  0.106   0.149  0.0077 -0.0027 -0.0049 -0.0046    -429070.696              4404
   0.00000   0.00000    .00000    .00000    .00000    .00000                4405                
   -19.432    -2.202   931.200  1012.933    44.212    65.203 0 0            4406                
        3.5380658247   0.01149       -0.0070572978   0.01191  0             4408                
BADARY    NYALES20  1806+456 2019 02 14 18 50  33.0000000000                4501                
   -2608742.25239487   0.01069   702788.0836113734   0.02178 0      I       4502                
   0.00089    .00000    .00000    .00000  -3.484446414429940       0.0      4503                
  0.106  -0.054  0.0077  0.0140 -0.0049 -0.0003    -722057.826              4504
   0.00000   0.00768    .00000    .00000    .00000    .00000                4505                
   -19.432    -9.378   931.200   988.000    44.212    70.575 0 0            4506                
        3.6520196361   0.00772       -0.0145993054   0.00894  0             4508                
